loan_id,contract_id,loan_amount,outstanding_balance,interest_rate,term_months,remaining_months,next_payment_date,next_payment_amount,delinquency_status,collateral_value,loan_to_value_ratio
82,267,116974,39223.91,6.5,240,35,2025-11-22,633.61,CURRENT,147077.63,0.75
83,268,181826,163512.67,12.68,351,40,2025-11-09,1921.29,DELINQUENT_30,253635.0,0.76
84,271,85866,14814.67,6.82,86,60,2025-11-22,488.01,CURRENT,109532.8,0.67
85,272,162790,110726.43,14.44,81,38,2025-11-17,1958.91,CURRENT,211247.29,0.7
86,273,38377,22480.41,10.4,193,51,2025-11-14,332.6,CURRENT,45077.75,0.69
87,275,84411,70360.37,6.63,36,60,2025-11-28,466.37,DELINQUENT_60,117584.12,0.82
88,278,121379,57969.21,13.68,169,44,2025-11-26,1383.72,DELINQUENT_90+,149036.63,0.69
89,280,58905,35316.78,12.71,324,33,2025-11-26,623.9,CURRENT,72000.3,0.75
90,281,50900,22350.22,10.07,267,9,2025-11-08,427.14,DELINQUENT_90+,69213.97,0.89
91,284,55064,9223.33,7.1,101,20,2025-11-12,325.8,DELINQUENT_30,65987.75,0.87
92,285,137883,67828.8,8.6,351,47,2025-11-07,988.16,CURRENT,161738.26,0.62
93,289,118809,16035.48,14.46,96,48,2025-11-03,1431.65,CURRENT,138931.34,0.86
94,291,9154,6727.63,14.51,116,28,2025-11-24,110.69,DELINQUENT_90+,11742.94,0.6
95,295,15221,11240.24,5.61,193,13,2025-11-20,71.16,DELINQUENT_30,20553.51,0.62
96,298,180287,46333.6,6.82,175,7,2025-11-15,1024.63,DELINQUENT_90+,247918.4,0.75
97,299,47565,13323.06,5.3,123,14,2025-11-10,210.08,DELINQUENT_60,68115.29,0.6
98,307,126748,91427.33,14.83,282,31,2025-11-28,1566.39,DELINQUENT_60,187864.54,0.74
99,310,89640,54981.54,11.56,217,25,2025-11-25,863.53,DELINQUENT_60,125932.44,0.66
100,311,180225,138030.71,12.16,309,16,2025-11-05,1826.28,CURRENT,225098.65,0.66
101,322,67345,56624.82,6.62,349,35,2025-11-04,371.52,CURRENT,85563.51,0.84
102,323,154969,108114.04,9.81,215,10,2025-11-22,1266.87,DELINQUENT_90+,188864.84,0.61
103,325,61318,20970.51,9.53,244,3,2025-11-21,486.97,DELINQUENT_60,74967.02,0.65
104,329,148891,58107.88,9.56,126,55,2025-11-10,1186.16,DELINQUENT_30,188068.36,0.84
105,333,36530,32628.64,10.5,329,22,2025-11-25,319.64,DELINQUENT_60,49500.62,0.66
106,339,144763,125774.98,8.63,189,14,2025-11-22,1041.09,CURRENT,175057.37,0.69
107,341,183361,31522.83,6.66,241,6,2025-11-27,1017.65,DELINQUENT_90+,271494.11,0.61
108,342,192717,147006.42,6.52,164,32,2025-11-06,1047.1,DELINQUENT_30,224319.14,0.67
109,343,77986,60121.52,5.49,220,13,2025-11-23,356.79,DELINQUENT_30,114599.92,0.79
110,345,127684,25495.73,8.22,67,33,2025-11-13,874.64,CURRENT,155006.57,0.88
111,347,197272,128896.07,11.13,338,3,2025-11-26,1829.7,CURRENT,238610.75,0.67
112,348,112577,77994.37,6.4,179,17,2025-11-22,600.41,DELINQUENT_60,130869.42,0.87
113,350,114840,51673.52,8.91,98,59,2025-11-27,852.69,DELINQUENT_30,141152.09,0.88
114,351,96857,69809.62,5.71,242,15,2025-11-26,460.88,DELINQUENT_90+,119081.74,0.85
115,358,193745,26645.31,8.41,185,30,2025-11-22,1357.83,DELINQUENT_60,242134.95,0.8
116,360,169337,139054.94,9.67,63,15,2025-11-19,1364.57,DELINQUENT_90+,205049.66,0.64
117,362,81311,66784.22,7.25,26,31,2025-11-10,491.25,DELINQUENT_90+,102509.06,0.82
118,371,164027,64563.37,13.37,91,14,2025-11-13,1827.53,DELINQUENT_30,199433.57,0.69
119,375,157075,119690.8,11.73,250,48,2025-11-25,1535.41,DELINQUENT_30,221694.95,0.62
120,378,169657,147022.27,12.44,26,41,2025-11-03,1758.78,CURRENT,248871.57,0.73
121,383,70195,35180.3,7.77,225,47,2025-11-23,454.51,DELINQUENT_90+,97836.23,0.65
122,385,47098,33410.95,7.09,333,5,2025-11-23,278.27,DELINQUENT_90+,63066.06,0.68
123,387,28296,9836.02,8.34,307,13,2025-11-10,196.66,CURRENT,32826.64,0.71
124,388,85172,27811.27,6.01,34,49,2025-11-19,426.57,CURRENT,111018.23,0.89
125,395,151779,125695.99,10.38,249,1,2025-11-22,1312.89,DELINQUENT_90+,181672.09,0.77
126,399,39873,12858.88,14.21,234,24,2025-11-15,472.16,DELINQUENT_30,59554.14,0.62
127,402,148651,126532.16,6.55,328,12,2025-11-29,811.39,DELINQUENT_90+,186239.35,0.73
128,403,134628,115518.45,7.24,142,45,2025-11-26,812.26,DELINQUENT_60,150384.59,0.6
129,404,64200,15178.87,9.4,315,13,2025-11-27,502.9,DELINQUENT_60,80498.11,0.73
130,405,8255,5812.96,7.97,145,56,2025-11-25,54.83,DELINQUENT_60,9667.28,0.64
131,406,131687,31376.0,13.38,131,38,2025-11-18,1468.31,CURRENT,181872.04,0.9
132,412,88926,59930.3,10.4,39,49,2025-11-12,770.69,DELINQUENT_30,106078.92,0.62
133,420,49916,27254.79,5.22,217,52,2025-11-13,217.13,DELINQUENT_30,73172.58,0.67
134,421,175466,94415.26,5.58,52,30,2025-11-03,815.92,DELINQUENT_60,252727.86,0.84
135,422,190154,67881.53,6.48,175,55,2025-11-10,1026.83,DELINQUENT_30,258435.86,0.83
136,427,187768,160185.1,11.75,277,41,2025-11-14,1838.56,DELINQUENT_90+,278182.26,0.64
137,433,56018,7207.86,7.49,171,51,2025-11-28,349.65,DELINQUENT_60,65196.99,0.7
138,434,12729,6038.27,11.49,185,60,2025-11-12,121.88,CURRENT,17566.78,0.74
139,435,36326,23609.02,8.32,197,8,2025-11-18,251.86,DELINQUENT_90+,40856.45,0.73
140,436,155471,74797.13,12.01,100,35,2025-11-27,1556.01,DELINQUENT_60,216418.24,0.82
141,439,190404,55646.15,9.3,196,7,2025-11-21,1475.63,CURRENT,218243.79,0.8
142,442,123417,14276.18,12.52,315,6,2025-11-17,1287.65,DELINQUENT_30,143724.93,0.65
143,445,8297,3472.07,5.05,229,26,2025-11-10,34.92,DELINQUENT_30,11407.97,0.62
144,452,168075,144239.25,5.39,93,17,2025-11-15,754.94,DELINQUENT_30,202745.59,0.73
145,454,140918,65538.66,6.67,171,27,2025-11-21,783.27,DELINQUENT_90+,163250.59,0.75
146,456,177618,29488.63,10.48,332,14,2025-11-12,1551.2,DELINQUENT_30,222666.93,0.74
147,464,148230,37877.81,11.43,279,23,2025-12-02,1411.89,DELINQUENT_30,184272.57,0.82
148,465,40514,33192.1,9.48,136,28,2025-11-23,320.06,DELINQUENT_90+,59832.15,0.86
149,468,89283,23253.12,10.61,319,50,2025-11-18,789.41,DELINQUENT_30,120375.17,0.81
150,469,135446,90569.32,14.92,282,5,2025-11-14,1684.05,DELINQUENT_60,161435.14,0.73
151,472,87222,37369.85,12.39,105,18,2025-11-13,900.57,DELINQUENT_60,115461.8,0.81
152,474,18745,16692.37,13.24,129,16,2025-11-26,206.82,DELINQUENT_30,21793.18,0.77
153,480,105004,21459.33,7.06,71,36,2025-12-01,617.77,DELINQUENT_90+,119142.97,0.74
154,481,6242,2227.76,14.04,13,45,2025-11-23,73.03,DELINQUENT_90+,8691.9,0.77
155,483,16732,4179.99,6.56,317,10,2025-11-12,91.47,DELINQUENT_60,19130.15,0.85
156,484,180251,154874.04,7.58,47,8,2025-11-16,1138.59,DELINQUENT_60,239049.59,0.6
157,493,53066,47020.97,10.37,352,59,2025-11-15,458.58,DELINQUENT_60,59323.45,0.83
158,501,119281,57499.78,11.15,311,18,2025-11-30,1108.32,DELINQUENT_60,158892.69,0.72
159,505,8725,3743.28,14.49,199,46,2025-11-04,105.35,DELINQUENT_60,11300.42,0.6
160,512,148425,121082.29,14.64,316,32,2025-11-29,1810.78,CURRENT,186352.01,0.62
161,514,193870,66440.09,6.7,266,9,2025-11-04,1082.44,DELINQUENT_60,255467.16,0.79
162,515,15074,11943.81,6.43,46,39,2025-11-03,80.77,CURRENT,17399.97,0.84
163,517,20313,2441.26,13.14,222,15,2025-11-04,222.43,DELINQUENT_30,24980.03,0.83
164,518,169701,66600.32,5.35,218,4,2025-11-14,756.58,CURRENT,228213.65,0.74
165,521,67303,18219.4,11.83,60,49,2025-11-05,663.5,DELINQUENT_90+,100524.24,0.87
166,524,80199,8924.5,11.37,249,12,2025-11-14,759.89,DELINQUENT_30,103521.23,0.61
167,526,10488,3670.02,9.32,233,11,2025-11-29,81.46,DELINQUENT_30,12597.83,0.72
168,528,37774,27851.48,13.4,215,12,2025-11-15,421.81,CURRENT,51356.51,0.64
169,538,168471,57884.89,9.12,44,51,2025-11-27,1280.38,DELINQUENT_60,242700.41,0.69
170,541,121124,80197.76,5.24,63,7,2025-11-30,528.91,DELINQUENT_30,171817.8,0.66
171,542,153738,135873.48,11.67,53,6,2025-11-25,1495.1,DELINQUENT_60,209145.91,0.69
172,547,165001,43275.59,14.33,21,13,2025-11-29,1970.39,DELINQUENT_60,198961.65,0.63
173,549,7272,1842.4,14.2,21,51,2025-11-30,86.05,DELINQUENT_30,9088.85,0.88
174,550,28579,6902.82,8.13,176,44,2025-11-12,193.62,DELINQUENT_90+,42379.51,0.78
175,552,22307,2579.05,8.63,356,4,2025-11-21,160.42,DELINQUENT_90+,28647.85,0.69
176,557,78723,26326.48,11.9,102,50,2025-11-27,780.67,CURRENT,109421.32,0.63
177,559,15322,2773.21,6.36,21,39,2025-11-16,81.21,DELINQUENT_30,17132.96,0.71
178,560,104449,92041.76,9.77,196,16,2025-11-18,850.39,DELINQUENT_60,153360.07,0.79
179,565,40374,7678.08,11.24,341,60,2025-11-14,378.17,CURRENT,51784.04,0.61
180,569,168017,24842.82,13.91,47,6,2025-11-27,1947.6,DELINQUENT_60,240527.15,0.86
181,574,118495,61421.92,8.38,346,17,2025-11-10,827.49,CURRENT,143032.99,0.61
182,579,181135,121088.06,7.7,56,49,2025-11-22,1162.28,DELINQUENT_60,261093.79,0.71
183,582,73573,18307.71,10.52,166,2,2025-11-23,644.99,DELINQUENT_30,109926.22,0.71
184,583,74906,51683.7,5.83,81,11,2025-11-19,363.92,CURRENT,82478.08,0.86
185,584,27228,5249.28,13.05,285,12,2025-11-04,296.1,DELINQUENT_30,38763.24,0.74
186,590,23450,19811.52,6.56,178,43,2025-11-26,128.19,DELINQUENT_60,32169.22,0.86
187,600,53477,32546.3,10.08,126,43,2025-12-01,449.21,CURRENT,69563.14,0.71
188,606,116810,61031.59,7.51,127,44,2025-11-16,731.04,DELINQUENT_90+,146638.19,0.62
189,608,47274,4834.24,5.65,283,2,2025-11-06,222.58,DELINQUENT_30,54187.68,0.88
190,609,95236,35791.02,14.03,126,14,2025-11-24,1113.47,CURRENT,138078.06,0.84
191,610,117746,64787.0,5.8,28,42,2025-11-20,569.11,CURRENT,164902.77,0.82
192,612,99759,83594.47,11.98,83,44,2025-11-20,995.93,CURRENT,140739.81,0.6
193,625,9296,1454.65,8.91,344,31,2025-11-26,69.02,DELINQUENT_90+,10387.7,0.62
194,629,119060,87299.38,14.47,46,59,2025-11-14,1435.67,DELINQUENT_60,167076.36,0.73
195,630,179532,144416.98,5.6,54,40,2025-11-14,837.82,CURRENT,235274.5,0.75
196,632,66643,59653.21,10.19,353,6,2025-11-21,565.91,DELINQUENT_60,87784.93,0.88
197,634,46576,12363.7,8.39,202,24,2025-11-26,325.64,DELINQUENT_90+,67679.13,0.64
198,636,38928,10005.53,10.3,211,22,2025-11-20,334.13,DELINQUENT_60,51608.33,0.61
199,637,102872,90186.42,13.07,232,56,2025-11-21,1120.45,DELINQUENT_90+,153644.71,0.73
200,643,170853,31310.22,10.72,104,39,2025-11-15,1526.29,DELINQUENT_30,229164.22,0.73
201,645,152665,38673.33,9.7,24,43,2025-11-04,1234.04,DELINQUENT_60,181615.28,0.82
202,646,138945,118747.5,13.81,219,60,2025-11-03,1599.03,CURRENT,178337.07,0.68
203,648,133697,78406.74,9.63,271,20,2025-11-27,1072.92,DELINQUENT_90+,149867.96,0.78
204,649,122829,57937.15,8.9,28,12,2025-11-18,910.98,CURRENT,150248.85,0.75
205,652,5800,3641.81,8.27,14,25,2025-11-28,39.97,DELINQUENT_90+,6926.39,0.88
206,656,197261,65149.59,5.61,61,9,2025-11-27,922.2,DELINQUENT_60,251758.36,0.87
207,658,188670,102881.32,13.19,324,40,2025-11-06,2073.8,DELINQUENT_90+,249733.39,0.88
208,659,73416,32994.48,7.04,167,52,2025-11-22,430.71,DELINQUENT_30,107769.68,0.71
209,660,12555,2968.53,11.52,229,44,2025-11-14,120.53,DELINQUENT_90+,15425.91,0.66
210,663,121428,41085.96,12.58,167,53,2025-11-12,1272.97,DELINQUENT_30,176921.87,0.72
211,664,124522,97521.42,7.76,12,29,2025-11-08,805.24,DELINQUENT_60,153168.39,0.81
212,666,37483,19513.96,5.52,115,6,2025-11-07,172.42,DELINQUENT_30,48698.62,0.75
213,667,130069,23242.77,8.69,283,3,2025-12-02,941.92,CURRENT,168947.44,0.61
214,672,19643,4483.94,12.23,249,6,2025-11-26,200.19,CURRENT,28649.99,0.82
215,675,99454,14663.4,14.72,70,37,2025-11-18,1219.97,DELINQUENT_90+,141314.15,0.67
216,677,110004,49728.91,10.45,300,18,2025-11-08,957.95,DELINQUENT_60,163200.63,0.84
217,679,122571,31957.13,6.59,292,34,2025-11-07,673.12,DELINQUENT_90+,136606.99,0.72
218,682,16113,5510.43,5.42,353,38,2025-11-11,72.78,CURRENT,22147.97,0.87
219,683,41090,14938.22,10.01,323,26,2025-11-14,342.76,DELINQUENT_90+,50490.39,0.81
220,695,36239,22360.89,11.5,240,51,2025-11-12,347.29,DELINQUENT_30,42405.89,0.86
221,710,5002,2454.44,8.03,65,7,2025-11-30,33.47,DELINQUENT_60,6356.47,0.71
222,711,153926,123704.01,14.61,44,4,2025-11-21,1874.05,CURRENT,202491.0,0.86
223,715,14173,11787.31,13.99,161,1,2025-12-02,165.23,DELINQUENT_60,16161.47,0.68
224,717,171909,132164.7,12.44,204,15,2025-11-22,1782.12,CURRENT,217292.83,0.81
225,719,66552,28150.57,9.55,75,11,2025-11-24,529.64,DELINQUENT_60,99598.65,0.75
226,720,10913,9724.66,12.03,314,6,2025-11-20,109.4,DELINQUENT_60,14595.6,0.87
227,726,78811,63767.37,12.19,240,56,2025-11-15,800.59,CURRENT,93021.38,0.82
228,729,16566,7579.15,13.74,171,6,2025-11-30,189.68,DELINQUENT_90+,24339.79,0.68
229,730,189273,154077.64,9.89,49,50,2025-11-18,1559.92,DELINQUENT_30,209814.96,0.84
230,731,199648,145601.02,5.47,333,6,2025-11-07,910.06,CURRENT,295890.75,0.66
231,732,161774,112229.22,8.67,227,37,2025-12-01,1168.82,DELINQUENT_90+,241059.26,0.62
232,734,149447,43607.26,10.41,195,55,2025-11-17,1296.45,DELINQUENT_60,165898.62,0.9
233,743,94561,10926.79,10.4,259,49,2025-11-25,819.53,CURRENT,122231.28,0.82
234,744,155390,69498.04,6.4,84,1,2025-11-13,828.75,CURRENT,222601.84,0.86
235,745,108900,61642.47,5.82,207,11,2025-11-05,528.16,DELINQUENT_90+,148940.83,0.63
236,749,35650,22414.99,8.25,183,33,2025-11-27,245.09,DELINQUENT_60,40057.75,0.84
237,761,98720,29509.36,11.62,263,12,2025-11-18,955.94,DELINQUENT_90+,120000.39,0.61
238,762,161646,18004.26,8.0,300,30,2025-11-26,1077.64,DELINQUENT_30,231433.05,0.79
239,763,59643,41510.46,8.04,164,2,2025-11-24,399.61,CURRENT,82929.62,0.67
240,764,166166,142029.35,10.93,350,33,2025-11-20,1513.5,DELINQUENT_30,185906.88,0.71
241,767,146300,117320.81,12.7,356,37,2025-11-10,1548.34,DELINQUENT_60,202807.55,0.77
242,770,132781,116030.95,12.59,282,32,2025-11-04,1393.09,DELINQUENT_30,158645.86,0.74
243,773,104575,52681.04,12.49,59,17,2025-11-14,1088.45,DELINQUENT_90+,154502.67,0.64
244,775,189559,75642.02,13.55,16,35,2025-11-20,2140.44,DELINQUENT_90+,233433.24,0.7
245,777,182010,114272.55,12.81,159,55,2025-11-23,1942.96,DELINQUENT_30,202284.51,0.63
246,779,153124,101355.65,8.88,180,45,2025-11-06,1133.12,CURRENT,192527.14,0.74
247,782,81096,72489.64,11.01,321,11,2025-11-22,744.06,DELINQUENT_30,121061.21,0.68
248,784,131391,104840.55,9.86,354,15,2025-11-22,1079.6,CURRENT,194917.57,0.89
249,785,176408,139309.99,14.05,175,48,2025-11-11,2065.44,CURRENT,202595.7,0.63
250,787,157979,131244.94,13.46,164,40,2025-11-21,1772.0,DELINQUENT_90+,227631.58,0.86
251,790,135061,58393.49,8.67,235,4,2025-11-15,975.82,DELINQUENT_30,200740.89,0.64
252,793,78112,16446.06,9.36,253,48,2025-11-22,609.27,DELINQUENT_90+,109062.55,0.8
253,794,22085,16300.03,5.87,83,28,2025-12-02,108.03,DELINQUENT_90+,27516.17,0.72
254,795,110205,23396.89,10.07,262,33,2025-11-15,924.8,DELINQUENT_90+,124487.42,0.66
255,796,36722,10155.07,5.24,353,15,2025-11-16,160.35,CURRENT,48484.86,0.75
256,797,53966,45352.59,11.65,347,30,2025-11-13,523.92,CURRENT,75197.23,0.78
257,798,148109,117075.41,8.73,197,6,2025-11-03,1077.49,DELINQUENT_30,203926.42,0.75
258,799,22516,15036.82,14.71,274,14,2025-11-13,276.01,DELINQUENT_90+,27456.65,0.63
259,803,138744,27344.66,12.88,338,18,2025-11-26,1489.19,CURRENT,194034.74,0.82
260,804,179564,20159.73,7.66,305,22,2025-11-19,1146.22,DELINQUENT_90+,206378.18,0.69
261,811,48183,29277.14,7.47,79,5,2025-11-08,299.94,CURRENT,69064.48,0.87
262,812,99823,47148.72,14.38,305,34,2025-11-28,1196.21,DELINQUENT_60,118412.92,0.88
263,813,20642,7295.6,12.52,275,19,2025-11-23,215.36,DELINQUENT_60,27780.79,0.8
264,815,122919,64179.76,11.06,72,14,2025-12-01,1132.9,DELINQUENT_60,141312.46,0.73
265,818,24675,3248.15,9.33,72,4,2025-11-21,191.85,DELINQUENT_60,29458.11,0.64
266,820,173139,76799.08,5.4,206,1,2025-11-28,779.13,DELINQUENT_60,202206.24,0.67
267,821,78618,62606.79,9.65,121,14,2025-11-28,632.22,DELINQUENT_30,105624.12,0.84
268,822,145323,84240.7,11.05,277,22,2025-11-24,1338.18,DELINQUENT_60,201256.33,0.75
269,824,93362,73280.62,5.91,39,6,2025-11-28,459.81,DELINQUENT_30,124062.5,0.65
270,825,144654,55795.59,10.17,311,33,2025-11-30,1225.94,CURRENT,168517.13,0.68
271,829,55291,21715.41,13.26,71,43,2025-11-11,610.97,DELINQUENT_60,64435.4,0.82
272,832,185442,149983.14,7.95,312,12,2025-11-30,1228.55,DELINQUENT_30,235534.26,0.72
273,833,147285,17127.19,10.53,50,4,2025-11-30,1292.43,DELINQUENT_90+,171756.93,0.7
274,843,124212,43930.6,14.35,346,59,2025-11-10,1485.37,DELINQUENT_90+,164047.56,0.82
275,844,153754,70617.83,9.2,148,37,2025-11-12,1178.78,DELINQUENT_60,222619.88,0.73
276,852,34211,6669.65,8.38,153,37,2025-11-27,238.91,CURRENT,41246.27,0.87
277,855,97681,42875.18,13.41,310,1,2025-11-17,1091.59,DELINQUENT_30,135702.7,0.68
278,857,105472,19697.87,7.03,150,19,2025-11-03,617.89,CURRENT,141588.6,0.9
279,861,62761,45297.28,7.79,238,17,2025-11-11,407.42,DELINQUENT_60,75339.35,0.79
