contract_id,client_id,product_id,contract_number,start_date,end_date,contract_amount,interest_rate,status,monthly_payment,created_date
21,2250,3,CNT00000021,2024-05-17,2032-01-02,41166,9.66,CLOSED,331.39,2024-05-17
22,276,6,CNT00000022,2025-09-08,2035-07-13,7736,7.18,SUSPENDED,46.29,2025-09-08
23,1290,10,CNT00000023,2023-11-13,2030-01-10,5426,8.77,CLOSED,39.66,2023-11-13
24,2788,4,CNT00000024,2025-03-22,2029-09-02,183491,11.42,CLOSED,1746.22,2025-03-22
25,307,4,CNT00000025,2025-08-31,2035-01-17,198491,6.33,ACTIVE,1047.04,2025-08-31
26,2795,12,CNT00000026,2025-03-19,2030-06-19,190051,7.87,SUSPENDED,1246.42,2025-03-19
27,1776,10,CNT00000027,2025-10-20,2028-05-17,37130,3.16,CLOSED,97.78,2025-10-20
28,1091,2,CNT00000028,2024-04-09,2027-05-20,17978,8.84,CLOSED,132.44,2024-04-09
29,148,6,CNT00000029,2025-01-25,2029-05-17,72988,11.98,SUSPENDED,728.66,2025-01-25
30,452,9,CNT00000030,2024-02-22,2025-02-25,65210,2.42,SUSPENDED,131.51,2024-02-22
31,664,3,CNT00000031,2022-01-03,2026-12-01,42162,5.23,CLOSED,183.76,2022-01-03
32,548,5,CNT00000032,2023-05-14,2024-10-10,158412,8.86,CLOSED,1169.61,2023-05-14
33,451,2,CNT00000033,2024-12-21,2033-11-05,28533,3.47,SUSPENDED,82.51,2024-12-21
34,1570,7,CNT00000034,2022-11-23,2024-07-19,45850,3.8,SUSPENDED,145.19,2022-11-23
35,714,9,CNT00000035,2025-06-17,2026-06-17,68275,4.09,SUSPENDED,232.7,2025-06-17
36,445,3,CNT00000036,2025-05-20,2028-10-29,30750,2.61,ACTIVE,66.88,2025-05-20
37,667,10,CNT00000037,2022-03-05,2028-12-20,43244,6.31,PENDING,227.39,2022-03-05
38,1851,5,CNT00000038,2025-01-19,2027-08-14,127485,10.87,SUSPENDED,1154.8,2025-01-19
39,2179,12,CNT00000039,2025-04-04,2032-07-30,104066,11.58,ACTIVE,1004.24,2025-04-04
40,470,2,CNT00000040,2025-10-25,2030-06-06,46059,1.05,SUSPENDED,40.3,2025-10-25
41,1946,2,CNT00000041,2024-03-17,2025-04-18,10503,4.21,SUSPENDED,36.85,2024-03-17
42,2854,11,CNT00000042,2025-09-07,2030-06-17,42559,9.03,CLOSED,320.26,2025-09-07
43,1018,2,CNT00000043,2025-10-25,2030-10-30,20172,1.63,CLOSED,27.4,2025-10-25
44,1196,5,CNT00000044,2025-10-17,2035-03-24,10701,9.39,PENDING,83.74,2025-10-17
45,1369,6,CNT00000045,2024-11-15,2032-07-12,155985,11.94,PENDING,1552.05,2024-11-15
46,2033,9,CNT00000046,2025-01-16,2028-03-10,32927,2.01,SUSPENDED,55.15,2025-01-16
47,1085,1,CNT00000047,2023-01-05,2030-10-01,22243,4.83,PENDING,89.53,2023-01-05
48,2331,5,CNT00000048,2025-03-26,2029-08-06,15519,14.71,CLOSED,190.24,2025-03-26
49,2221,10,CNT00000049,2025-08-03,2035-02-22,33324,1.08,PENDING,29.99,2025-08-03
50,1204,9,CNT00000050,2023-01-31,2027-12-01,36305,4.82,PENDING,145.83,2023-01-31
51,343,9,CNT00000051,2025-04-10,2029-02-02,4742,1.66,CLOSED,6.56,2025-04-10
52,1052,10,CNT00000052,2022-09-14,2027-01-27,39215,9.65,CLOSED,315.35,2022-09-14
53,1291,8,CNT00000053,2025-10-15,2029-06-19,99546,1.56,SUSPENDED,129.41,2025-10-15
54,1461,8,CNT00000054,2024-06-17,2029-05-16,8051,4.88,SUSPENDED,32.74,2024-06-17
55,2200,8,CNT00000055,2025-01-07,2029-12-15,19541,4.21,PENDING,68.56,2025-01-07
56,2694,2,CNT00000056,2025-02-15,2030-07-25,10935,4.61,CLOSED,42.01,2025-02-15
57,2288,3,CNT00000057,2022-08-20,2025-11-17,11376,3.01,ACTIVE,28.53,2022-08-20
58,90,9,CNT00000058,2021-08-12,2023-02-21,31957,4.43,PENDING,117.97,2021-08-12
59,1193,2,CNT00000059,2025-08-22,2027-08-26,47556,2.45,SUSPENDED,97.09,2025-08-22
60,1555,10,CNT00000060,2022-09-11,2023-10-01,31383,1.59,ACTIVE,41.58,2022-09-11
61,1708,6,CNT00000061,2023-12-29,2030-04-09,149134,11.87,CLOSED,1475.18,2023-12-29
62,2803,8,CNT00000062,2022-12-18,2026-02-07,88613,2.51,PENDING,185.35,2022-12-18
63,2786,3,CNT00000063,2023-07-15,2032-06-14,16008,7.63,ACTIVE,101.78,2023-07-15
64,1145,8,CNT00000064,2024-11-20,2027-07-21,17843,2.27,CLOSED,33.75,2024-11-20
65,2454,2,CNT00000065,2023-05-03,2028-10-25,21537,8.98,PENDING,161.17,2023-05-03
66,2721,6,CNT00000066,2025-03-28,2032-12-06,108245,10.34,SUSPENDED,932.71,2025-03-28
67,2133,9,CNT00000067,2024-12-08,2028-03-02,88802,3.96,ACTIVE,293.05,2024-12-08
68,2996,11,CNT00000068,2024-10-08,2028-04-03,39980,1.78,CLOSED,59.3,2024-10-08
69,2171,4,CNT00000069,2025-05-09,2030-06-28,99969,8.4,ACTIVE,699.78,2025-05-09
70,2017,11,CNT00000070,2024-09-26,2032-07-31,39367,7.52,ACTIVE,246.7,2024-09-26
71,2468,8,CNT00000071,2024-09-04,2028-10-15,31156,1.55,CLOSED,40.24,2024-09-04
72,591,12,CNT00000072,2025-10-12,2027-04-11,60373,8.02,ACTIVE,403.49,2025-10-12
73,1468,4,CNT00000073,2025-10-19,2030-08-09,105680,11.54,PENDING,1016.29,2025-10-19
74,2739,12,CNT00000074,2024-03-23,2026-11-30,79701,8.11,PENDING,538.65,2024-03-23
75,2197,10,CNT00000075,2024-10-24,2026-03-15,17206,9.59,PENDING,137.5,2024-10-24
76,1858,11,CNT00000076,2023-09-16,2026-09-20,10817,3.98,ACTIVE,35.88,2023-09-16
77,1772,5,CNT00000077,2023-12-31,2030-03-18,26663,8.46,ACTIVE,187.97,2023-12-31
78,557,3,CNT00000078,2024-09-19,2033-01-26,26607,8.04,ACTIVE,178.27,2024-09-19
79,1289,3,CNT00000079,2025-10-17,2028-08-05,21007,1.29,PENDING,22.58,2025-10-17
80,856,1,CNT00000080,2025-06-05,2034-02-14,29898,0.12,PENDING,2.99,2025-06-05
81,590,2,CNT00000081,2024-07-30,2030-04-25,3672,3.03,SUSPENDED,9.27,2024-07-30
82,2638,8,CNT00000082,2025-01-13,2029-09-08,84115,1.46,PENDING,102.34,2025-01-13
83,869,10,CNT00000083,2024-06-19,2031-02-04,24533,7.81,SUSPENDED,159.67,2024-06-19
84,2110,11,CNT00000084,2024-05-06,2031-05-06,24011,1.12,CLOSED,22.41,2024-05-06
85,2737,5,CNT00000085,2025-09-07,2031-06-09,144385,12.6,ACTIVE,1516.04,2025-09-07
86,844,10,CNT00000086,2023-10-21,2026-06-27,555,3.37,SUSPENDED,1.56,2023-10-21
87,1259,8,CNT00000087,2025-11-02,2027-06-09,68488,4.25,PENDING,242.56,2025-11-02
88,2343,7,CNT00000088,2025-10-09,2028-09-13,7362,2.86,ACTIVE,17.55,2025-10-09
89,584,1,CNT00000089,2024-01-14,2026-05-25,32187,4.6,ACTIVE,123.38,2024-01-14
90,1565,5,CNT00000090,2025-04-17,2033-01-04,184932,8.69,PENDING,1339.22,2025-04-17
91,1346,2,CNT00000091,2024-05-13,2029-02-23,44336,2.96,ACTIVE,109.36,2024-05-13
92,117,2,CNT00000092,2025-02-03,2032-03-06,17613,1.79,SUSPENDED,26.27,2025-02-03
93,793,5,CNT00000093,2024-04-18,2029-12-21,9592,9.47,SUSPENDED,75.7,2024-04-18
94,336,12,CNT00000094,2024-09-29,2032-11-15,14336,10.96,SUSPENDED,130.94,2024-09-29
95,659,5,CNT00000095,2025-02-09,2034-04-25,14597,10.31,PENDING,125.41,2025-02-09
96,1815,11,CNT00000096,2022-06-30,2026-04-13,11584,0.84,ACTIVE,8.11,2022-06-30
97,179,10,CNT00000097,2025-06-22,2027-11-20,47730,1.45,PENDING,57.67,2025-06-22
98,1144,11,CNT00000098,2023-07-04,2029-05-03,18102,3.45,PENDING,52.04,2023-07-04
99,2910,9,CNT00000099,2021-05-20,2025-09-27,81903,1.98,PENDING,135.14,2021-05-20
100,1806,10,CNT00000100,2024-02-10,2025-07-25,5115,3.27,ACTIVE,13.94,2024-02-10
101,1676,9,CNT00000101,2025-08-23,2026-12-16,80869,4.91,ACTIVE,330.89,2025-08-23
102,405,6,CNT00000102,2025-09-07,2030-12-19,139383,14.8,ACTIVE,1719.06,2025-09-07
103,303,8,CNT00000103,2025-02-16,2027-07-07,84458,4.0,PENDING,281.53,2025-02-16
104,763,1,CNT00000104,2025-10-22,2031-04-20,1566,1.84,SUSPENDED,2.4,2025-10-22
105,581,3,CNT00000105,2024-04-27,2033-05-30,42888,7.43,ACTIVE,265.55,2024-04-27
106,168,8,CNT00000106,2025-01-12,2027-12-15,16260,4.17,SUSPENDED,56.5,2025-01-12
107,2509,7,CNT00000107,2025-09-12,2027-11-21,81685,3.06,CLOSED,208.3,2025-09-12
108,2954,4,CNT00000108,2023-03-13,2031-12-24,17800,8.74,PENDING,129.64,2023-03-13
109,1239,8,CNT00000109,2024-02-22,2025-11-03,58271,2.1,CLOSED,101.97,2024-02-22
110,2440,10,CNT00000110,2022-11-30,2027-01-06,32970,6.71,PENDING,184.36,2022-11-30
111,907,6,CNT00000111,2025-09-28,2028-10-09,182788,7.85,ACTIVE,1195.74,2025-09-28
112,354,7,CNT00000112,2023-09-12,2026-06-21,28149,1.07,PENDING,25.1,2023-09-12
113,2290,6,CNT00000113,2025-10-12,2034-02-23,39017,7.75,PENDING,251.98,2025-10-12
114,931,3,CNT00000114,2025-08-18,2033-05-06,41705,3.18,CLOSED,110.52,2025-08-18
115,1907,1,CNT00000115,2023-10-27,2027-05-04,1284,7.09,CLOSED,7.59,2023-10-27
116,830,9,CNT00000116,2025-01-20,2025-11-26,81135,2.15,PENDING,145.37,2025-01-20
117,724,10,CNT00000117,2022-12-23,2030-07-27,27675,6.35,SUSPENDED,146.45,2022-12-23
118,1724,6,CNT00000118,2025-10-19,2032-11-13,106984,9.76,ACTIVE,870.14,2025-10-19
119,2005,12,CNT00000119,2025-01-08,2029-11-12,94285,8.2,PENDING,644.28,2025-01-08
120,1315,2,CNT00000120,2025-09-16,2028-05-29,30374,8.54,PENDING,216.16,2025-09-16
121,1825,1,CNT00000121,2022-08-13,2025-12-22,34980,6.98,PENDING,203.47,2022-08-13
122,444,6,CNT00000122,2025-10-25,2029-09-06,110627,5.32,ACTIVE,490.45,2025-10-25
123,819,6,CNT00000123,2022-07-09,2030-08-07,132543,10.61,SUSPENDED,1171.9,2022-07-09
124,829,7,CNT00000124,2022-05-30,2023-05-15,28204,3.99,SUSPENDED,93.78,2022-05-30
125,190,10,CNT00000125,2022-04-22,2026-09-18,19224,7.51,PENDING,120.31,2022-04-22
126,1090,8,CNT00000126,2024-06-25,2028-10-03,62260,1.12,CLOSED,58.11,2024-06-25
127,1138,3,CNT00000127,2024-09-30,2032-09-29,23144,5.65,PENDING,108.97,2024-09-30
128,657,5,CNT00000128,2025-05-13,2034-12-10,11136,12.51,SUSPENDED,116.09,2025-05-13
129,1353,1,CNT00000129,2024-09-14,2031-12-11,48862,4.91,CLOSED,199.93,2024-09-14
130,2043,12,CNT00000130,2024-08-11,2029-10-26,145926,6.32,ACTIVE,768.54,2024-08-11
131,138,7,CNT00000131,2025-09-12,2026-09-25,52871,1.87,ACTIVE,82.39,2025-09-12
132,2470,5,CNT00000132,2025-06-23,2032-11-15,80851,6.79,CLOSED,457.48,2025-06-23
133,1774,5,CNT00000133,2025-04-30,2034-12-05,197534,14.79,PENDING,2434.61,2025-04-30
134,2977,3,CNT00000134,2024-10-30,2029-10-10,49335,2.18,SUSPENDED,89.63,2024-10-30
135,122,7,CNT00000135,2025-08-11,2027-11-23,48602,3.52,SUSPENDED,142.57,2025-08-11
136,483,3,CNT00000136,2024-07-22,2031-03-10,35202,5.33,CLOSED,156.36,2024-07-22
137,1165,2,CNT00000137,2024-02-12,2029-08-23,32529,7.57,SUSPENDED,205.2,2024-02-12
138,173,12,CNT00000138,2025-10-19,2031-11-02,46148,14.24,CLOSED,547.62,2025-10-19
139,1168,4,CNT00000139,2024-05-14,2029-11-07,80604,5.03,SUSPENDED,337.87,2024-05-14
140,1021,4,CNT00000140,2023-04-04,2032-10-22,126640,11.56,ACTIVE,1219.97,2023-04-04
141,1604,6,CNT00000141,2025-04-15,2030-08-02,157084,11.53,PENDING,1509.32,2025-04-15
142,1026,1,CNT00000142,2024-06-13,2030-01-18,12478,6.36,CLOSED,66.13,2024-06-13
143,338,3,CNT00000143,2025-08-21,2028-03-10,40057,6.2,ACTIVE,206.96,2025-08-21
144,1006,2,CNT00000144,2024-11-02,2032-07-23,37493,7.32,ACTIVE,228.71,2024-11-02
145,2261,2,CNT00000145,2025-05-28,2030-01-18,40064,2.5,PENDING,83.47,2025-05-28
146,1432,3,CNT00000146,2025-07-07,2034-03-10,6061,9.52,ACTIVE,48.08,2025-07-07
147,1847,5,CNT00000147,2025-09-11,2035-01-10,162638,13.84,PENDING,1875.76,2025-09-11
148,457,3,CNT00000148,2024-06-17,2031-08-26,33610,8.63,CLOSED,241.71,2024-06-17
149,1312,9,CNT00000149,2025-07-24,2028-08-14,49373,3.89,CLOSED,160.05,2025-07-24
150,871,8,CNT00000150,2025-05-19,2026-11-08,62888,4.75,CLOSED,248.93,2025-05-19
151,148,6,CNT00000151,2024-12-01,2029-07-14,39773,7.93,ACTIVE,262.83,2024-12-01
152,1899,3,CNT00000152,2025-02-28,2028-06-24,37953,4.61,CLOSED,145.8,2025-02-28
153,738,9,CNT00000153,2025-06-05,2029-10-02,80069,2.77,CLOSED,184.83,2025-06-05
154,2893,6,CNT00000154,2024-09-02,2034-08-09,51367,14.73,ACTIVE,630.53,2024-09-02
155,2540,4,CNT00000155,2024-10-03,2032-07-12,91837,13.72,CLOSED,1050.0,2024-10-03
156,1002,3,CNT00000156,2023-12-03,2027-08-31,30391,7.22,ACTIVE,182.85,2023-12-03
157,1592,3,CNT00000157,2025-09-30,2026-10-28,49160,0.32,PENDING,13.11,2025-09-30
158,1117,4,CNT00000158,2022-03-04,2028-12-30,128262,13.62,ACTIVE,1455.77,2022-03-04
159,1753,8,CNT00000159,2021-12-25,2026-11-12,55668,4.83,ACTIVE,224.06,2021-12-25
160,917,10,CNT00000160,2025-09-12,2034-09-21,39878,6.47,ACTIVE,215.01,2025-09-12
161,220,3,CNT00000161,2024-10-26,2030-09-26,31610,8.28,ACTIVE,218.11,2024-10-26
162,1299,9,CNT00000162,2022-07-08,2024-08-25,53218,4.31,ACTIVE,191.14,2022-07-08
163,1188,5,CNT00000163,2024-11-25,2029-12-22,109708,12.17,PENDING,1112.62,2024-11-25
164,2766,7,CNT00000164,2023-12-15,2026-11-06,17260,1.41,SUSPENDED,20.28,2023-12-15
165,2237,9,CNT00000165,2025-06-13,2030-03-11,76997,4.01,ACTIVE,257.3,2025-06-13
166,697,9,CNT00000166,2023-05-02,2027-11-15,23145,2.47,SUSPENDED,47.64,2023-05-02
167,1246,5,CNT00000167,2024-09-13,2027-04-17,68718,12.96,CLOSED,742.15,2024-09-13
168,791,12,CNT00000168,2023-07-18,2027-07-05,30460,8.3,ACTIVE,210.68,2023-07-18
169,1728,5,CNT00000169,2025-06-08,2031-07-28,190881,9.92,CLOSED,1577.95,2025-06-08
170,1196,12,CNT00000170,2025-08-07,2035-02-01,73157,8.42,PENDING,513.32,2025-08-07
171,141,12,CNT00000171,2024-02-03,2028-10-18,123063,12.0,SUSPENDED,1230.63,2024-02-03
172,1863,3,CNT00000172,2025-04-09,2032-12-07,2442,7.61,CLOSED,15.49,2025-04-09
173,1021,7,CNT00000173,2023-10-08,2027-03-09,38805,1.1,SUSPENDED,35.57,2023-10-08
174,993,12,CNT00000174,2022-10-29,2030-02-22,100085,12.14,SUSPENDED,1012.53,2022-10-29
175,1267,2,CNT00000175,2024-09-16,2033-09-26,10474,5.68,SUSPENDED,49.58,2024-09-16
176,2879,8,CNT00000176,2025-07-29,2028-09-24,94464,2.76,SUSPENDED,217.27,2025-07-29
177,1708,6,CNT00000177,2022-11-29,2025-08-22,199965,13.05,CLOSED,2174.62,2022-11-29
178,1930,12,CNT00000178,2024-07-31,2027-03-23,164239,7.92,PENDING,1083.98,2024-07-31
179,1920,6,CNT00000179,2025-08-28,2029-07-16,171923,7.28,CLOSED,1043.0,2025-08-28
180,366,5,CNT00000180,2024-06-21,2032-01-04,84418,6.48,ACTIVE,455.86,2024-06-21
181,386,5,CNT00000181,2025-07-22,2029-06-18,100462,12.21,PENDING,1022.2,2025-07-22
182,1609,12,CNT00000182,2023-04-04,2029-08-08,167125,14.0,SUSPENDED,1949.79,2023-04-04
183,2250,7,CNT00000183,2025-05-20,2029-06-26,21431,3.35,SUSPENDED,59.83,2025-05-20
184,789,12,CNT00000184,2024-04-21,2031-03-04,103136,8.78,PENDING,754.61,2024-04-21
185,1029,11,CNT00000185,2024-08-21,2032-11-27,11183,8.71,PENDING,81.17,2024-08-21
186,2489,5,CNT00000186,2023-09-17,2026-09-04,131877,13.97,ACTIVE,1535.27,2023-09-17
187,94,2,CNT00000187,2021-11-13,2030-05-14,4343,3.42,SUSPENDED,12.38,2021-11-13
188,1356,2,CNT00000188,2025-03-13,2028-07-05,14800,1.5,ACTIVE,18.5,2025-03-13
189,162,11,CNT00000189,2023-01-23,2031-05-08,13006,3.57,PENDING,38.69,2023-01-23
190,1710,8,CNT00000190,2025-10-28,2029-07-05,84707,4.63,CLOSED,326.83,2025-10-28
191,2555,1,CNT00000191,2025-09-15,2035-01-07,13373,3.64,ACTIVE,40.56,2025-09-15
192,691,4,CNT00000192,2024-03-21,2029-09-08,169207,5.99,SUSPENDED,844.62,2024-03-21
193,1328,12,CNT00000193,2022-03-30,2028-12-06,22615,7.71,ACTIVE,145.3,2022-03-30
194,2766,5,CNT00000194,2023-10-06,2033-09-16,19673,9.47,CLOSED,155.25,2023-10-06
195,1666,6,CNT00000195,2025-05-23,2029-02-18,72127,12.97,CLOSED,779.57,2025-05-23
196,687,12,CNT00000196,2025-01-19,2033-10-14,175605,13.58,CLOSED,1987.26,2025-01-19
197,2613,2,CNT00000197,2025-10-20,2034-07-14,47114,4.56,ACTIVE,179.03,2025-10-20
198,1659,10,CNT00000198,2025-07-07,2033-05-06,17517,5.52,ACTIVE,80.58,2025-07-07
199,1933,4,CNT00000199,2024-09-06,2034-01-05,54811,12.33,ACTIVE,563.18,2024-09-06
200,566,3,CNT00000200,2024-02-07,2026-08-02,34346,3.03,CLOSED,86.72,2024-02-07
201,111,9,CNT00000201,2025-10-26,2027-08-03,32973,3.34,PENDING,91.77,2025-10-26
202,1026,11,CNT00000202,2024-06-24,2030-09-07,6540,5.37,ACTIVE,29.27,2024-06-24
203,2508,9,CNT00000203,2023-08-25,2025-12-05,84087,1.29,PENDING,90.39,2023-08-25
204,2222,10,CNT00000204,2024-11-17,2027-03-08,29060,0.83,CLOSED,20.1,2024-11-17
205,1044,1,CNT00000205,2024-07-22,2026-09-04,35644,5.89,PENDING,174.95,2024-07-22
206,935,11,CNT00000206,2024-08-25,2029-01-04,37411,0.1,PENDING,3.12,2024-08-25
207,107,3,CNT00000207,2023-11-19,2026-02-17,47284,8.87,CLOSED,349.51,2023-11-19
208,1129,3,CNT00000208,2023-11-16,2031-06-24,41710,6.14,PENDING,213.42,2023-11-16
209,2341,2,CNT00000209,2024-02-26,2025-02-27,16598,7.55,SUSPENDED,104.43,2024-02-26
210,1468,9,CNT00000210,2025-09-20,2028-12-21,83723,1.71,PENDING,119.31,2025-09-20
211,1974,10,CNT00000211,2025-10-26,2032-08-01,18696,9.51,SUSPENDED,148.17,2025-10-26
212,237,9,CNT00000212,2025-01-25,2027-01-16,70755,2.0,SUSPENDED,117.92,2025-01-25
213,1825,10,CNT00000213,2022-10-02,2031-05-09,36883,5.03,PENDING,154.6,2022-10-02
214,2816,12,CNT00000214,2025-10-30,2028-01-29,52757,9.88,SUSPENDED,434.37,2025-10-30
215,1524,5,CNT00000215,2024-05-15,2031-01-31,128340,9.96,CLOSED,1065.22,2024-05-15
216,221,8,CNT00000216,2025-08-30,2026-07-10,57625,3.69,ACTIVE,177.2,2025-08-30
217,2691,9,CNT00000217,2025-09-21,2028-09-12,45883,3.55,CLOSED,135.74,2025-09-21
218,2988,9,CNT00000218,2023-01-06,2024-08-04,15249,4.05,CLOSED,51.47,2023-01-06
219,412,9,CNT00000219,2025-02-18,2027-05-08,66769,2.22,PENDING,123.52,2025-02-18
220,230,10,CNT00000220,2022-12-13,2025-02-06,44975,3.0,CLOSED,112.44,2022-12-13
221,2970,5,CNT00000221,2025-07-29,2032-12-22,181131,6.55,CLOSED,988.67,2025-07-29
222,2172,3,CNT00000222,2023-08-03,2026-09-27,26067,7.86,CLOSED,170.74,2023-08-03
223,1262,3,CNT00000223,2023-11-12,2031-09-15,43523,1.57,PENDING,56.94,2023-11-12
224,210,10,CNT00000224,2024-04-25,2032-08-22,39108,7.89,SUSPENDED,257.14,2024-04-25
225,2302,3,CNT00000225,2023-12-03,2027-06-26,17326,4.72,SUSPENDED,68.15,2023-12-03
226,845,7,CNT00000226,2025-05-25,2027-12-20,20003,2.22,SUSPENDED,37.01,2025-05-25
227,645,11,CNT00000227,2025-02-08,2034-06-18,20766,4.5,PENDING,77.87,2025-02-08
228,828,8,CNT00000228,2025-04-01,2028-11-24,52582,4.05,ACTIVE,177.46,2025-04-01
229,2296,5,CNT00000229,2021-08-17,2031-03-05,110927,5.55,PENDING,513.04,2021-08-17
230,2071,5,CNT00000230,2022-01-27,2027-01-14,174290,13.05,PENDING,1895.4,2022-01-27
231,1318,11,CNT00000231,2024-05-28,2034-01-02,18070,0.19,CLOSED,2.86,2024-05-28
232,644,11,CNT00000232,2025-09-22,2029-01-23,43488,7.17,SUSPENDED,259.84,2025-09-22
233,579,5,CNT00000233,2025-09-15,2030-11-22,11207,8.22,PENDING,76.77,2025-09-15
234,1491,9,CNT00000234,2025-10-01,2028-01-26,74147,3.24,CLOSED,200.2,2025-10-01
235,439,8,CNT00000235,2023-02-09,2028-01-27,29177,3.47,PENDING,84.37,2023-02-09
236,2974,9,CNT00000236,2022-10-22,2024-11-01,15003,1.3,CLOSED,16.25,2022-10-22
237,2489,1,CNT00000237,2023-12-23,2028-08-16,47472,4.8,PENDING,189.89,2023-12-23
238,1149,4,CNT00000238,2023-12-08,2025-06-13,177862,8.9,PENDING,1319.14,2023-12-08
239,1007,8,CNT00000239,2025-06-04,2027-04-26,37718,4.95,PENDING,155.59,2025-06-04
240,1452,4,CNT00000240,2025-01-07,2026-09-06,31591,5.56,SUSPENDED,146.37,2025-01-07
241,1167,12,CNT00000241,2025-04-29,2029-06-02,146006,8.69,SUSPENDED,1057.33,2025-04-29
242,2208,10,CNT00000242,2023-09-13,2025-12-10,31022,1.34,ACTIVE,34.64,2023-09-13
243,2161,7,CNT00000243,2025-07-01,2027-10-23,97003,2.66,CLOSED,215.02,2025-07-01
244,2458,6,CNT00000244,2024-01-11,2026-09-18,159614,7.99,CLOSED,1062.76,2024-01-11
245,2413,1,CNT00000245,2021-05-26,2028-09-12,5867,4.38,SUSPENDED,21.41,2021-05-26
246,988,3,CNT00000246,2025-10-14,2033-03-16,35921,7.63,SUSPENDED,228.4,2025-10-14
247,2763,7,CNT00000247,2023-06-20,2027-01-30,70602,4.27,ACTIVE,251.23,2023-06-20
248,1119,9,CNT00000248,2025-01-16,2026-04-28,9913,4.48,SUSPENDED,37.01,2025-01-16
249,80,3,CNT00000249,2025-01-02,2030-01-20,29318,7.47,CLOSED,182.5,2025-01-02
250,913,11,CNT00000250,2025-04-13,2028-05-06,21154,4.68,PENDING,82.5,2025-04-13
251,2307,2,CNT00000251,2025-10-11,2030-11-02,21924,1.99,SUSPENDED,36.36,2025-10-11
252,764,5,CNT00000252,2025-02-09,2028-12-20,163234,12.48,ACTIVE,1697.63,2025-02-09
253,2201,11,CNT00000253,2025-01-18,2027-08-15,7911,6.42,PENDING,42.32,2025-01-18
254,372,9,CNT00000254,2025-10-31,2028-07-18,64747,4.19,ACTIVE,226.07,2025-10-31
255,1000,8,CNT00000255,2023-07-16,2026-11-26,49952,1.06,PENDING,44.12,2023-07-16
256,2528,10,CNT00000256,2025-06-07,2026-10-16,33144,8.73,SUSPENDED,241.12,2025-06-07
257,1001,8,CNT00000257,2022-10-21,2027-09-23,71622,2.97,SUSPENDED,177.26,2022-10-21
258,1776,5,CNT00000258,2025-11-01,2033-12-12,22592,12.34,ACTIVE,232.32,2025-11-01
259,1967,2,CNT00000259,2024-01-20,2031-04-24,7461,5.32,ACTIVE,33.08,2024-01-20
260,2534,9,CNT00000260,2023-05-20,2027-02-03,62400,3.44,CLOSED,178.88,2023-05-20
261,1502,1,CNT00000261,2023-11-19,2033-04-24,4889,7.67,PENDING,31.25,2023-11-19
262,2464,9,CNT00000262,2025-04-25,2027-05-12,62042,2.81,CLOSED,145.28,2025-04-25
263,1262,8,CNT00000263,2024-04-08,2028-05-29,44310,1.29,SUSPENDED,47.63,2024-04-08
264,537,11,CNT00000264,2022-08-21,2028-09-22,34684,7.81,PENDING,225.74,2022-08-21
265,1553,11,CNT00000265,2023-02-19,2024-05-16,26410,5.75,ACTIVE,126.55,2023-02-19
