balance_id,account_id,current_balance,available_balance,currency,last_updated,credit_limit
41,41,36783.47,32469.92,USD,2025-11-03 16:37:03.134326,0.0
42,42,37857.68,34308.26,USD,2025-11-03 16:37:03.134630,24994.5
43,43,36057.26,29648.5,USD,2025-11-03 16:37:03.134951,0.0
44,44,24030.72,20390.73,USD,2025-11-03 16:37:03.135243,0.0
45,45,25721.7,21672.58,USD,2025-11-03 16:37:03.135544,13892.71
46,46,33702.94,29170.34,USD,2025-11-03 16:37:03.135850,24410.39
47,47,29026.64,27070.35,USD,2025-11-03 16:37:03.136143,18430.79
48,48,21021.36,18373.58,USD,2025-11-03 16:37:03.136419,0.0
49,49,50203.99,43274.44,USD,2025-11-03 16:37:03.136724,0.0
50,50,28044.28,24781.79,USD,2025-11-03 16:37:03.137041,0.0
51,51,31835.19,26725.38,USD,2025-11-03 16:37:03.137376,0.0
52,52,4391.97,3907.88,USD,2025-11-03 16:37:03.137702,0.0
53,53,10085.28,8904.7,USD,2025-11-03 16:37:03.138011,0.0
54,54,49274.97,46252.12,USD,2025-11-03 16:37:03.138287,0.0
55,55,12814.9,12804.53,USD,2025-11-03 16:37:03.138596,0.0
56,56,30500.03,29166.11,USD,2025-11-03 16:37:03.138916,0.0
57,57,27054.16,22305.64,USD,2025-11-03 16:37:03.139266,0.0
58,58,40871.26,38337.65,USD,2025-11-03 16:37:03.139593,0.0
59,59,37317.5,34235.75,USD,2025-11-03 16:37:03.139932,8100.42
60,60,31285.99,28207.25,USD,2025-11-03 16:37:03.140254,20257.87
61,61,24087.52,21900.79,USD,2025-11-03 16:37:03.140632,15516.41
62,62,36340.34,29926.07,USD,2025-11-03 16:37:03.140957,5200.9
63,63,33807.0,31375.72,USD,2025-11-03 16:37:03.141251,0.0
64,64,8443.8,8145.4,USD,2025-11-03 16:37:03.141573,0.0
65,65,4125.62,3963.32,USD,2025-11-03 16:37:03.141885,0.0
66,66,31026.79,27244.07,USD,2025-11-03 16:37:03.142165,0.0
67,67,5526.65,4634.22,USD,2025-11-03 16:37:03.142505,0.0
68,68,23481.21,19422.25,USD,2025-11-03 16:37:03.142832,0.0
69,69,31365.36,27977.24,USD,2025-11-03 16:37:03.143157,17434.97
70,70,23374.08,23277.67,USD,2025-11-03 16:37:03.143505,0.0
71,71,27757.8,25268.49,USD,2025-11-03 16:37:03.143833,0.0
72,72,28226.52,23065.04,USD,2025-11-03 16:37:03.144171,0.0
73,73,23143.87,20330.74,USD,2025-11-03 16:37:03.144454,0.0
74,74,19068.77,15969.29,USD,2025-11-03 16:37:03.144768,0.0
75,75,38187.08,35270.57,USD,2025-11-03 16:37:03.145059,0.0
76,76,20600.48,16762.59,USD,2025-11-03 16:37:03.145414,0.0
77,77,35893.05,30610.55,USD,2025-11-03 16:37:03.145803,0.0
78,78,2689.12,2175.83,USD,2025-11-03 16:37:03.146105,2195.75
79,79,5944.27,5111.45,USD,2025-11-03 16:37:03.146421,0.0
80,80,17972.04,17449.09,USD,2025-11-03 16:37:03.146733,0.0
81,81,6165.67,5989.2,USD,2025-11-03 16:37:03.147052,0.0
82,82,22325.72,21419.52,USD,2025-11-03 16:37:03.147360,10543.69
83,83,18479.18,14863.27,USD,2025-11-03 16:37:03.147625,0.0
84,84,31504.86,25302.24,USD,2025-11-03 16:37:03.147895,0.0
85,85,20983.54,20700.43,USD,2025-11-03 16:37:03.148171,0.0
86,86,13422.28,10935.66,USD,2025-11-03 16:37:03.148477,0.0
87,87,41495.52,34211.63,USD,2025-11-03 16:37:03.148812,0.0
88,88,7654.21,6144.66,USD,2025-11-03 16:37:03.149160,14990.18
89,89,44706.84,37819.3,USD,2025-11-03 16:37:03.149493,1376.76
90,90,29057.42,23501.5,USD,2025-11-03 16:37:03.149859,0.0
91,91,40520.79,32956.41,USD,2025-11-03 16:37:03.150170,0.0
92,92,31101.58,30549.92,USD,2025-11-03 16:37:03.150519,0.0
93,93,43903.89,43823.59,USD,2025-11-03 16:37:03.150824,0.0
94,94,10301.38,9992.66,USD,2025-11-03 16:37:03.151192,19160.21
95,95,17082.18,16462.82,USD,2025-11-03 16:37:03.151472,5927.91
96,96,22589.35,19549.53,USD,2025-11-03 16:37:03.151772,0.0
97,97,19604.2,19051.09,USD,2025-11-03 16:37:03.152094,0.0
98,98,39409.88,35823.82,USD,2025-11-03 16:37:03.152415,17349.56
99,99,22821.18,22558.13,USD,2025-11-03 16:37:03.152726,0.0
100,100,46683.96,41427.38,USD,2025-11-03 16:37:03.153025,0.0
101,101,26407.91,23686.37,USD,2025-11-03 16:37:03.153322,5010.15
102,102,25818.28,23968.74,USD,2025-11-03 16:37:03.153647,0.0
103,103,256.77,227.48,USD,2025-11-03 16:37:03.153982,0.0
104,104,31447.04,26386.36,USD,2025-11-03 16:37:03.154385,0.0
105,105,30990.55,25742.99,USD,2025-11-03 16:37:03.154694,0.0
106,106,42576.18,39954.82,USD,2025-11-03 16:37:03.154986,14072.23
107,107,42683.22,38216.45,USD,2025-11-03 16:37:03.155234,0.0
108,108,43765.97,35678.48,USD,2025-11-03 16:37:03.155555,0.0
109,109,26454.62,25564.19,USD,2025-11-03 16:37:03.155833,8747.25
110,110,5507.35,4931.85,USD,2025-11-03 16:37:03.156104,3574.34
111,111,30029.71,28242.72,USD,2025-11-03 16:37:03.156366,0.0
112,112,8900.54,7788.9,USD,2025-11-03 16:37:03.156730,0.0
113,113,17903.52,15232.12,USD,2025-11-03 16:37:03.157063,0.0
114,114,20411.98,17344.66,USD,2025-11-03 16:37:03.157369,0.0
115,115,39523.67,36674.01,USD,2025-11-03 16:37:03.157688,0.0
116,116,34890.7,32656.36,USD,2025-11-03 16:37:03.158032,0.0
117,117,37545.79,36520.63,USD,2025-11-03 16:37:03.158406,11312.08
118,118,26504.68,22983.93,USD,2025-11-03 16:37:03.158762,0.0
119,119,24354.71,22827.8,USD,2025-11-03 16:37:03.159060,0.0
120,120,44712.08,43834.06,USD,2025-11-03 16:37:03.159288,0.0
121,121,49366.06,43938.33,USD,2025-11-03 16:37:03.159567,0.0
122,122,46742.57,38196.88,USD,2025-11-03 16:37:03.159873,0.0
123,123,37640.23,30690.49,USD,2025-11-03 16:37:03.160193,22105.08
124,124,1397.61,1169.04,USD,2025-11-03 16:37:03.160568,9878.47
125,125,1660.75,1602.88,USD,2025-11-03 16:37:03.160918,0.0
126,126,20883.92,18530.94,USD,2025-11-03 16:37:03.161267,0.0
127,127,13745.56,13077.22,USD,2025-11-03 16:37:03.161531,0.0
128,128,10205.54,9564.46,USD,2025-11-03 16:37:03.161857,0.0
129,129,44541.65,38695.97,USD,2025-11-03 16:37:03.162107,0.0
130,130,39922.7,34256.71,USD,2025-11-03 16:37:03.162423,0.0
131,131,5220.36,4722.03,USD,2025-11-03 16:37:03.162685,0.0
132,132,44339.47,35547.65,USD,2025-11-03 16:37:03.163004,0.0
133,133,10771.4,10070.96,USD,2025-11-03 16:37:03.163311,0.0
134,134,18146.11,18080.21,USD,2025-11-03 16:37:03.163657,0.0
135,135,22823.82,22638.66,USD,2025-11-03 16:37:03.163935,0.0
136,136,35369.32,30906.41,USD,2025-11-03 16:37:03.164270,17569.86
137,137,6697.5,5992.3,USD,2025-11-03 16:37:03.164563,0.0
138,138,37860.86,33684.29,USD,2025-11-03 16:37:03.164853,0.0
139,139,44667.96,36168.84,USD,2025-11-03 16:37:03.165181,0.0
140,140,46334.4,44526.47,USD,2025-11-03 16:37:03.165513,0.0
141,141,15927.94,15596.43,USD,2025-11-03 16:37:03.165806,0.0
142,142,7228.28,6179.91,USD,2025-11-03 16:37:03.166114,17308.24
143,143,44482.93,38848.91,USD,2025-11-03 16:37:03.166434,17595.96
144,144,36325.88,33199.34,USD,2025-11-03 16:37:03.166716,0.0
145,145,31068.24,24884.61,USD,2025-11-03 16:37:03.167019,0.0
146,146,16179.76,14935.87,USD,2025-11-03 16:37:03.167397,24753.53
147,147,6623.98,6003.16,USD,2025-11-03 16:37:03.167681,0.0
148,148,27182.44,24329.1,USD,2025-11-03 16:37:03.167985,0.0
149,149,26853.47,21969.19,USD,2025-11-03 16:37:03.168323,0.0
150,150,21156.13,17131.76,USD,2025-11-03 16:37:03.168644,0.0
151,151,13015.23,12705.95,USD,2025-11-03 16:37:03.168913,0.0
152,152,22407.76,21732.5,USD,2025-11-03 16:37:03.169192,0.0
153,153,38473.42,32490.07,USD,2025-11-03 16:37:03.169546,0.0
154,154,2598.65,2352.78,USD,2025-11-03 16:37:03.169882,0.0
155,155,8486.78,7114.72,USD,2025-11-03 16:37:03.170218,0.0
156,156,38288.16,36599.41,USD,2025-11-03 16:37:03.170531,19465.06
157,157,-3537.71,-2874.09,USD,2025-11-03 16:37:03.170817,10264.36
158,158,24283.72,22551.9,USD,2025-11-03 16:37:03.171126,2753.29
159,159,8697.56,7359.95,USD,2025-11-03 16:37:03.171408,0.0
160,160,32615.49,29355.11,USD,2025-11-03 16:37:03.171697,0.0
161,161,45031.57,43832.14,USD,2025-11-03 16:37:03.172016,21586.9
162,162,4373.44,3768.56,USD,2025-11-03 16:37:03.172309,0.0
163,163,26122.53,24740.79,USD,2025-11-03 16:37:03.172668,0.0
164,164,42963.91,36313.34,USD,2025-11-03 16:37:03.172962,0.0
165,165,37461.01,36351.36,USD,2025-11-03 16:37:03.173255,0.0
166,166,29992.36,24354.26,USD,2025-11-03 16:37:03.173559,0.0
167,167,39140.71,32997.72,USD,2025-11-03 16:37:03.173864,0.0
168,168,37589.08,33537.19,USD,2025-11-03 16:37:03.174199,0.0
169,169,20186.72,18253.95,USD,2025-11-03 16:37:03.174551,0.0
170,170,7482.52,6716.83,USD,2025-11-03 16:37:03.174895,5134.59
171,171,31154.36,26831.77,USD,2025-11-03 16:37:03.175237,0.0
172,172,38692.63,33907.53,USD,2025-11-03 16:37:03.175559,0.0
173,173,42702.97,34722.16,USD,2025-11-03 16:37:03.175886,0.0
174,174,38963.46,34262.7,USD,2025-11-03 16:37:03.176243,0.0
175,175,12746.51,11517.89,USD,2025-11-03 16:37:03.176524,0.0
176,176,9075.96,8947.3,USD,2025-11-03 16:37:03.176860,20844.28
177,177,29562.17,29176.98,USD,2025-11-03 16:37:03.177150,0.0
178,178,33238.65,30929.98,USD,2025-11-03 16:37:03.177431,0.0
179,179,46363.9,43793.25,USD,2025-11-03 16:37:03.177796,0.0
180,180,26450.54,25804.46,USD,2025-11-03 16:37:03.178140,0.0
181,181,2711.78,2612.41,USD,2025-11-03 16:37:03.178491,0.0
182,182,23116.88,20235.76,USD,2025-11-03 16:37:03.178867,16423.07
183,183,1501.2,1493.84,USD,2025-11-03 16:37:03.179260,0.0
184,184,39732.28,37623.88,USD,2025-11-03 16:37:03.179635,0.0
185,185,-1814.97,-1711.46,USD,2025-11-03 16:37:03.179900,0.0
186,186,44400.81,35821.19,USD,2025-11-03 16:37:03.180192,15638.42
187,187,8421.77,7070.26,USD,2025-11-03 16:37:03.180441,0.0
188,188,30819.27,26226.07,USD,2025-11-03 16:37:03.180745,0.0
189,189,21422.06,20331.04,USD,2025-11-03 16:37:03.181037,13011.78
190,190,15342.18,14925.14,USD,2025-11-03 16:37:03.181323,13959.93
191,191,42057.76,37313.14,USD,2025-11-03 16:37:03.181587,0.0
192,192,30518.29,24603.88,USD,2025-11-03 16:37:03.181879,0.0
193,193,9917.5,9613.52,USD,2025-11-03 16:37:03.182172,0.0
194,194,21093.7,17851.15,USD,2025-11-03 16:37:03.182452,0.0
195,195,7185.57,5849.39,USD,2025-11-03 16:37:03.182795,0.0
196,196,14121.57,12610.27,USD,2025-11-03 16:37:03.183089,0.0
197,197,6179.52,5406.76,USD,2025-11-03 16:37:03.183380,0.0
198,198,6459.41,6438.46,USD,2025-11-03 16:37:03.183718,0.0
199,199,42898.45,38952.01,USD,2025-11-03 16:37:03.183996,0.0
200,200,2320.39,1955.94,USD,2025-11-03 16:37:03.184342,1930.49
201,201,1965.12,1798.71,USD,2025-11-03 16:37:03.184753,0.0
202,202,14843.7,14341.45,USD,2025-11-03 16:37:03.185102,0.0
203,203,34398.14,28511.26,USD,2025-11-03 16:37:03.185408,9717.44
204,204,37962.38,31703.64,USD,2025-11-03 16:37:03.185700,0.0
205,205,15837.03,13145.33,USD,2025-11-03 16:37:03.186032,0.0
206,206,10648.79,10494.61,USD,2025-11-03 16:37:03.186378,5395.48
207,207,30812.03,30013.88,USD,2025-11-03 16:37:03.186654,14988.73
208,208,6366.76,5911.56,USD,2025-11-03 16:37:03.186938,0.0
209,209,41563.62,36406.79,USD,2025-11-03 16:37:03.187254,0.0
210,210,29881.87,29255.74,USD,2025-11-03 16:37:03.187566,0.0
211,211,43289.73,42573.6,USD,2025-11-03 16:37:03.187918,13448.97
212,212,48903.09,39884.22,USD,2025-11-03 16:37:03.188240,0.0
213,213,42156.68,34112.01,USD,2025-11-03 16:37:03.188515,10754.63
214,214,4717.42,4667.84,USD,2025-11-03 16:37:03.188827,0.0
215,215,44368.83,39610.43,USD,2025-11-03 16:37:03.189137,0.0
216,216,27603.98,26674.02,USD,2025-11-03 16:37:03.189439,0.0
217,217,22047.98,20322.48,USD,2025-11-03 16:37:03.189746,0.0
218,218,45471.51,40074.06,USD,2025-11-03 16:37:03.190024,0.0
219,219,30077.21,27889.53,USD,2025-11-03 16:37:03.190392,0.0
220,220,5954.98,5922.16,USD,2025-11-03 16:37:03.190808,0.0
221,221,112.23,93.41,USD,2025-11-03 16:37:03.191087,0.0
222,222,34384.37,27883.75,USD,2025-11-03 16:37:03.191383,0.0
223,223,31020.21,25320.39,USD,2025-11-03 16:37:03.191721,0.0
224,224,7701.83,6983.12,USD,2025-11-03 16:37:03.192024,0.0
225,225,35951.66,28888.79,USD,2025-11-03 16:37:03.192327,8452.53
226,226,56664.85,54301.02,USD,2025-11-03 16:37:03.192677,0.0
227,227,36013.2,32597.39,USD,2025-11-03 16:37:03.193033,0.0
228,228,14963.39,13364.23,USD,2025-11-03 16:37:03.193376,20843.98
229,229,50067.82,44069.31,USD,2025-11-03 16:37:03.193710,0.0
230,230,37267.96,30889.52,USD,2025-11-03 16:37:03.194036,0.0
231,231,30256.4,28880.11,USD,2025-11-03 16:37:03.194357,0.0
232,232,31871.34,31206.89,USD,2025-11-03 16:37:03.194712,0.0
233,233,12657.56,10484.72,USD,2025-11-03 16:37:03.195035,0.0
234,234,27934.85,27504.89,USD,2025-11-03 16:37:03.195344,0.0
235,235,24529.77,23185.23,USD,2025-11-03 16:37:03.195687,0.0
236,236,20819.7,19598.98,USD,2025-11-03 16:37:03.195962,0.0
237,237,4395.11,4164.33,USD,2025-11-03 16:37:03.196283,0.0
238,238,18316.56,17303.71,USD,2025-11-03 16:37:03.196572,0.0
239,239,13149.98,12714.68,USD,2025-11-03 16:37:03.196849,14686.28
240,240,5540.58,4849.96,USD,2025-11-03 16:37:03.197169,0.0
241,241,24857.9,23895.72,USD,2025-11-03 16:37:03.197419,0.0
242,242,40268.42,34081.75,USD,2025-11-03 16:37:03.197707,0.0
243,243,29886.76,27698.4,USD,2025-11-03 16:37:03.197932,0.0
244,244,350.87,301.24,USD,2025-11-03 16:37:03.198206,0.0
245,245,18967.61,15387.11,USD,2025-11-03 16:37:03.198480,0.0
246,246,33279.31,28976.45,USD,2025-11-03 16:37:03.198767,0.0
247,247,8740.28,7526.54,USD,2025-11-03 16:37:03.199097,0.0
248,248,15956.76,15609.96,USD,2025-11-03 16:37:03.199432,17090.09
249,249,14805.1,14165.1,USD,2025-11-03 16:37:03.199753,0.0
250,250,17510.53,15265.18,USD,2025-11-03 16:37:03.200083,0.0
251,251,15325.15,14151.71,USD,2025-11-03 16:37:03.200417,0.0
252,252,48463.59,45522.14,USD,2025-11-03 16:37:03.200666,0.0
253,253,32.12,28.92,USD,2025-11-03 16:37:03.200994,11001.0
254,254,48594.35,41238.76,USD,2025-11-03 16:37:03.201273,0.0
255,255,23066.06,18812.75,USD,2025-11-03 16:37:03.201551,0.0
256,256,27143.31,22224.64,USD,2025-11-03 16:37:03.201894,0.0
257,257,36410.8,30495.1,USD,2025-11-03 16:37:03.202216,20298.4
258,258,7068.3,6110.87,USD,2025-11-03 16:37:03.202524,0.0
259,259,13049.66,12532.55,USD,2025-11-03 16:37:03.202845,0.0
260,260,4544.94,3790.65,USD,2025-11-03 16:37:03.203151,8021.85
261,261,4523.22,3999.05,USD,2025-11-03 16:37:03.203468,0.0
262,262,32514.59,30047.79,USD,2025-11-03 16:37:03.203788,0.0
263,263,44929.15,41145.36,USD,2025-11-03 16:37:03.204094,0.0
264,264,1052.48,891.41,USD,2025-11-03 16:37:03.204440,0.0
265,265,19479.01,17079.39,USD,2025-11-03 16:37:03.204734,0.0
266,266,9778.62,7996.56,USD,2025-11-03 16:37:03.205038,0.0
267,267,19574.16,16952.6,USD,2025-11-03 16:37:03.205286,0.0
268,268,7128.86,6804.7,USD,2025-11-03 16:37:03.205576,0.0
269,269,33747.41,31627.73,USD,2025-11-03 16:37:03.205908,9998.01
270,270,21785.46,19990.74,USD,2025-11-03 16:37:03.206205,0.0
271,271,3372.12,3300.54,USD,2025-11-03 16:37:03.206524,0.0
272,272,31929.98,25655.92,USD,2025-11-03 16:37:03.206843,0.0
273,273,651.2,636.63,USD,2025-11-03 16:37:03.207135,0.0
274,274,36196.22,32676.15,USD,2025-11-03 16:37:03.207505,0.0
275,275,49115.42,48399.48,USD,2025-11-03 16:37:03.207784,0.0
276,276,5869.98,5413.13,USD,2025-11-03 16:37:03.208134,0.0
277,277,6734.86,5858.9,USD,2025-11-03 16:37:03.208441,0.0
278,278,1134.42,1112.27,USD,2025-11-03 16:37:03.208734,5968.85
279,279,8316.22,7354.19,USD,2025-11-03 16:37:03.209079,0.0
280,280,13488.76,12736.02,USD,2025-11-03 16:37:03.209342,0.0
281,281,28525.32,26382.52,USD,2025-11-03 16:37:03.209643,0.0
282,282,36503.55,34123.07,USD,2025-11-03 16:37:03.209937,0.0
283,283,42082.97,34751.18,USD,2025-11-03 16:37:03.210214,0.0
284,284,8057.23,6865.98,USD,2025-11-03 16:37:03.210574,0.0
285,285,37599.05,33132.86,USD,2025-11-03 16:37:03.210882,13706.43
286,286,37620.36,36631.38,USD,2025-11-03 16:37:03.211161,0.0
287,287,13665.49,11822.7,USD,2025-11-03 16:37:03.211464,0.0
288,288,34956.12,32230.49,USD,2025-11-03 16:37:03.211742,0.0
289,289,26405.9,21714.45,USD,2025-11-03 16:37:03.212048,14929.05
290,290,4991.79,4233.32,USD,2025-11-03 16:37:03.212326,0.0
291,291,48152.44,43481.7,USD,2025-11-03 16:37:03.212615,0.0
292,292,1804.61,1581.17,USD,2025-11-03 16:37:03.212998,0.0
293,293,12861.58,11638.13,USD,2025-11-03 16:37:03.213278,0.0
294,294,6589.23,5822.79,USD,2025-11-03 16:37:03.213582,0.0
295,295,5813.23,5017.21,USD,2025-11-03 16:37:03.213858,0.0
296,296,43385.66,40580.79,USD,2025-11-03 16:37:03.214121,0.0
297,297,26706.48,23504.88,USD,2025-11-03 16:37:03.214435,7382.26
298,298,94.29,85.51,USD,2025-11-03 16:37:03.214683,0.0
299,299,33160.74,27451.27,USD,2025-11-03 16:37:03.214996,0.0
300,300,8220.12,6785.1,USD,2025-11-03 16:37:03.215276,0.0
301,301,50025.6,47932.5,USD,2025-11-03 16:37:03.215594,0.0
302,302,50554.12,40770.5,USD,2025-11-03 16:37:03.215860,0.0
303,303,14434.92,12604.58,USD,2025-11-03 16:37:03.216167,0.0
304,304,38772.94,38575.79,USD,2025-11-03 16:37:03.216473,17952.63
305,305,24227.25,19660.75,USD,2025-11-03 16:37:03.216768,2653.16
306,306,19340.49,17260.1,USD,2025-11-03 16:37:03.217086,18064.43
307,307,45776.75,37108.36,USD,2025-11-03 16:37:03.217393,0.0
308,308,5405.61,4529.7,USD,2025-11-03 16:37:03.217696,0.0
309,309,15582.56,15099.47,USD,2025-11-03 16:37:03.218069,0.0
310,310,23240.24,19771.89,USD,2025-11-03 16:37:03.218389,10096.87
311,311,17935.83,14412.62,USD,2025-11-03 16:37:03.218681,0.0
312,312,16326.9,14134.09,USD,2025-11-03 16:37:03.218971,0.0
313,313,44336.77,42594.16,USD,2025-11-03 16:37:03.219219,0.0
314,314,26770.58,22930.37,USD,2025-11-03 16:37:03.219479,0.0
315,315,22630.76,21058.33,USD,2025-11-03 16:37:03.219799,22123.09
316,316,9436.64,7806.71,USD,2025-11-03 16:37:03.220106,0.0
317,317,34791.52,32767.36,USD,2025-11-03 16:37:03.220410,3813.43
318,318,48282.35,41951.38,USD,2025-11-03 16:37:03.220693,20255.62
319,319,53723.3,50797.77,USD,2025-11-03 16:37:03.220985,0.0
320,320,6590.95,5374.04,USD,2025-11-03 16:37:03.221331,0.0
321,321,43764.31,36352.17,USD,2025-11-03 16:37:03.221636,0.0
322,322,29622.02,24672.02,USD,2025-11-03 16:37:03.221981,0.0
323,323,6921.81,5872.97,USD,2025-11-03 16:37:03.222297,16352.91
324,324,47832.28,40097.09,USD,2025-11-03 16:37:03.222603,0.0
325,325,26337.17,25589.15,USD,2025-11-03 16:37:03.222962,10142.54
326,326,26513.34,22187.82,USD,2025-11-03 16:37:03.223241,0.0
327,327,9354.35,9168.27,USD,2025-11-03 16:37:03.223570,0.0
328,328,32822.23,27342.01,USD,2025-11-03 16:37:03.223914,0.0
329,329,40733.72,39934.73,USD,2025-11-03 16:37:03.224207,0.0
330,330,864.9,834.27,USD,2025-11-03 16:37:03.224508,0.0
331,331,7878.6,7075.28,USD,2025-11-03 16:37:03.224838,0.0
332,332,7459.41,6181.25,USD,2025-11-03 16:37:03.225130,0.0
333,333,30874.71,26567.86,USD,2025-11-03 16:37:03.225482,0.0
334,334,32869.34,30782.53,USD,2025-11-03 16:37:03.225774,0.0
335,335,18484.72,17707.23,USD,2025-11-03 16:37:03.226050,0.0
336,336,32393.62,29992.01,USD,2025-11-03 16:37:03.226336,0.0
337,337,39610.15,36459.61,USD,2025-11-03 16:37:03.226610,0.0
338,338,9148.66,8946.74,USD,2025-11-03 16:37:03.226967,0.0
339,339,30973.51,27009.63,USD,2025-11-03 16:37:03.227301,0.0
340,340,18586.24,17610.92,USD,2025-11-03 16:37:03.227564,0.0
341,341,23505.56,22345.42,USD,2025-11-03 16:37:03.227943,0.0
342,342,1510.38,1265.25,USD,2025-11-03 16:37:03.228255,0.0
343,343,707.4,698.87,USD,2025-11-03 16:37:03.228535,0.0
344,344,29554.69,29203.73,USD,2025-11-03 16:37:03.228862,0.0
345,345,5240.24,4197.17,USD,2025-11-03 16:37:03.229167,0.0
346,346,20937.34,17506.66,USD,2025-11-03 16:37:03.229444,0.0
347,347,11813.59,10304.22,USD,2025-11-03 16:37:03.229724,0.0
348,348,29486.62,23757.67,USD,2025-11-03 16:37:03.230000,0.0
349,349,40271.74,36290.05,USD,2025-11-03 16:37:03.230343,0.0
350,350,9160.83,8750.78,USD,2025-11-03 16:37:03.230620,0.0
351,351,35220.03,31212.21,USD,2025-11-03 16:37:03.230896,0.0
352,352,44396.65,37376.0,USD,2025-11-03 16:37:03.231223,11317.45
353,353,25489.55,21185.42,USD,2025-11-03 16:37:03.231581,4609.89
354,354,20691.33,18390.39,USD,2025-11-03 16:37:03.231884,0.0
355,355,34507.55,33801.03,USD,2025-11-03 16:37:03.232147,0.0
356,356,59659.23,50819.86,USD,2025-11-03 16:37:03.232481,19581.01
357,357,46346.74,41196.05,USD,2025-11-03 16:37:03.232819,0.0
358,358,30863.59,26915.79,USD,2025-11-03 16:37:03.233139,0.0
359,359,25995.96,24973.04,USD,2025-11-03 16:37:03.233429,0.0
360,360,6931.55,5765.51,USD,2025-11-03 16:37:03.233719,17104.01
361,361,38714.88,36760.2,USD,2025-11-03 16:37:03.234053,0.0
362,362,24322.81,21733.46,USD,2025-11-03 16:37:03.234377,0.0
363,363,29385.23,28944.61,USD,2025-11-03 16:37:03.234670,0.0
364,364,22591.8,19437.81,USD,2025-11-03 16:37:03.234944,0.0
365,365,20252.28,20127.3,USD,2025-11-03 16:37:03.235230,0.0
366,366,51502.36,43487.76,USD,2025-11-03 16:37:03.235548,22063.21
367,367,8440.56,8001.99,USD,2025-11-03 16:37:03.235846,0.0
368,368,15884.97,15430.85,USD,2025-11-03 16:37:03.236093,0.0
369,369,12870.14,12717.62,USD,2025-11-03 16:37:03.236366,0.0
370,370,45686.97,38100.13,USD,2025-11-03 16:37:03.236643,0.0
371,371,41778.84,36262.47,USD,2025-11-03 16:37:03.236998,0.0
372,372,25004.67,20475.51,USD,2025-11-03 16:37:03.237291,18837.99
373,373,31842.07,31293.93,USD,2025-11-03 16:37:03.237597,0.0
374,374,10027.71,8149.53,USD,2025-11-03 16:37:03.237902,7375.98
