relationship_id,client_id,product_id,relationship_type,start_date,end_date,status
60,2006,8,OWNER,2025-08-19,,ACTIVE
61,2261,8,OWNER,2025-04-05,,ACTIVE
62,1083,5,BENEFICIARY,2025-08-13,2026-02-16,PENDING
63,1976,7,BENEFICIARY,2023-10-04,,INACTIVE
64,2205,5,CO_OWNER,2024-07-03,,INACTIVE
65,1990,11,CO_OWNER,2025-03-17,,INACTIVE
66,735,6,OWNER,2022-07-26,,PENDING
67,1975,5,OWNER,2024-11-21,,INACTIVE
68,253,6,AUTHORIZED_USER,2025-10-25,,PENDING
69,1483,12,BENEFICIARY,2025-09-26,,ACTIVE
70,335,1,BENEFICIARY,2024-04-05,2027-04-28,INACTIVE
71,327,6,OWNER,2025-10-21,,PENDING
72,1379,8,AUTHORIZED_USER,2022-07-13,,PENDING
73,1536,11,AUTHORIZED_USER,2023-11-27,,INACTIVE
74,2281,8,CO_OWNER,2025-04-30,,PENDING
75,1824,7,CO_OWNER,2023-12-18,,ACTIVE
76,1071,5,BENEFICIARY,2024-04-29,,INACTIVE
77,2091,7,OWNER,2025-04-27,,PENDING
78,2516,2,AUTHORIZED_USER,2025-07-01,,PENDING
79,719,11,BENEFICIARY,2024-05-29,,INACTIVE
80,1662,11,OWNER,2025-06-06,,INACTIVE
81,2475,9,AUTHORIZED_USER,2024-11-03,2027-01-03,ACTIVE
82,1442,5,AUTHORIZED_USER,2023-12-15,,ACTIVE
83,2061,9,AUTHORIZED_USER,2023-07-23,,PENDING
84,2497,1,OWNER,2024-06-29,2027-07-01,PENDING
85,1712,5,CO_OWNER,2025-06-10,,ACTIVE
86,1500,5,CO_OWNER,2025-06-27,2027-03-31,ACTIVE
87,1788,5,CO_OWNER,2024-08-10,,PENDING
88,2725,8,OWNER,2025-06-14,,ACTIVE
89,1296,11,CO_OWNER,2025-06-19,,INACTIVE
90,1639,1,CO_OWNER,2025-10-15,,ACTIVE
91,1614,8,BENEFICIARY,2025-04-01,,ACTIVE
92,1125,12,BENEFICIARY,2022-03-06,,INACTIVE
93,1120,4,OWNER,2025-02-19,,INACTIVE
94,30,5,CO_OWNER,2025-10-15,,INACTIVE
95,2147,8,BENEFICIARY,2023-01-26,,ACTIVE
96,2095,10,CO_OWNER,2024-06-28,,PENDING
97,2843,10,OWNER,2021-07-27,2027-04-12,PENDING
98,400,6,CO_OWNER,2022-01-23,,INACTIVE
99,2479,5,AUTHORIZED_USER,2024-05-02,,INACTIVE
100,2049,5,CO_OWNER,2024-11-05,2027-02-04,PENDING
101,2267,8,CO_OWNER,2023-05-15,2026-11-09,INACTIVE
102,1407,6,OWNER,2024-08-29,,INACTIVE
103,1312,6,BENEFICIARY,2025-06-10,,INACTIVE
104,35,11,OWNER,2021-07-15,,ACTIVE
105,884,7,CO_OWNER,2021-09-21,,ACTIVE
106,2139,3,CO_OWNER,2024-08-24,2026-08-26,ACTIVE
107,934,10,AUTHORIZED_USER,2025-10-12,,PENDING
108,819,2,OWNER,2025-07-18,2026-05-20,ACTIVE
109,468,7,AUTHORIZED_USER,2022-10-19,,INACTIVE
110,1445,9,AUTHORIZED_USER,2025-05-12,,INACTIVE
111,285,7,BENEFICIARY,2023-01-28,,PENDING
112,1662,12,CO_OWNER,2023-06-15,,INACTIVE
113,2786,4,OWNER,2023-12-08,,PENDING
114,2846,3,CO_OWNER,2024-08-22,,PENDING
115,1764,5,AUTHORIZED_USER,2024-02-02,,ACTIVE
116,545,8,BENEFICIARY,2024-04-29,,PENDING
117,2174,1,AUTHORIZED_USER,2025-04-07,,INACTIVE
118,1610,1,CO_OWNER,2023-06-04,,INACTIVE
119,165,6,OWNER,2024-09-11,2027-01-22,PENDING
120,862,9,CO_OWNER,2024-05-21,2026-02-28,INACTIVE
121,2132,1,BENEFICIARY,2024-04-13,,INACTIVE
122,836,2,BENEFICIARY,2025-10-25,,PENDING
123,2526,11,BENEFICIARY,2025-10-21,2027-10-06,INACTIVE
124,1189,6,OWNER,2023-12-16,,PENDING
125,854,9,OWNER,2025-01-02,,INACTIVE
126,1750,1,OWNER,2025-06-19,,ACTIVE
127,2993,12,BENEFICIARY,2022-01-08,,INACTIVE
128,194,12,AUTHORIZED_USER,2025-03-02,2026-11-13,ACTIVE
129,2111,2,BENEFICIARY,2024-10-16,2027-06-18,PENDING
130,2354,10,BENEFICIARY,2024-08-09,,ACTIVE
131,2047,11,AUTHORIZED_USER,2025-10-24,2027-04-19,ACTIVE
132,118,4,OWNER,2025-04-07,,INACTIVE
133,85,7,AUTHORIZED_USER,2025-09-14,2027-01-06,PENDING
134,454,8,AUTHORIZED_USER,2023-06-02,,INACTIVE
135,2869,4,CO_OWNER,2025-08-26,,PENDING
136,527,3,BENEFICIARY,2025-01-03,2027-03-09,INACTIVE
137,805,6,BENEFICIARY,2024-08-11,,ACTIVE
138,123,5,BENEFICIARY,2024-01-29,,PENDING
139,1455,11,CO_OWNER,2025-04-04,,ACTIVE
140,1979,6,AUTHORIZED_USER,2025-08-06,,PENDING
141,1365,11,CO_OWNER,2025-09-02,,PENDING
142,323,4,CO_OWNER,2025-07-17,2027-04-12,INACTIVE
143,243,12,CO_OWNER,2025-10-02,,PENDING
144,1718,5,BENEFICIARY,2025-09-20,,PENDING
145,1304,2,AUTHORIZED_USER,2021-05-31,2027-03-25,INACTIVE
146,2743,10,OWNER,2025-01-05,2027-01-11,ACTIVE
147,1185,5,BENEFICIARY,2023-04-02,,PENDING
148,1474,5,BENEFICIARY,2025-06-25,,ACTIVE
149,2651,4,AUTHORIZED_USER,2025-06-05,,ACTIVE
150,2981,5,CO_OWNER,2022-12-19,,INACTIVE
151,1184,11,OWNER,2025-09-30,,PENDING
152,1049,11,OWNER,2024-11-04,,PENDING
153,670,4,OWNER,2025-10-03,,PENDING
154,959,2,OWNER,2025-05-02,,PENDING
155,831,8,BENEFICIARY,2024-01-20,,ACTIVE
156,2684,7,OWNER,2025-09-27,2026-04-23,INACTIVE
157,2772,12,OWNER,2025-05-18,2027-05-28,INACTIVE
158,1514,1,CO_OWNER,2024-09-29,,ACTIVE
159,710,7,BENEFICIARY,2022-09-08,,PENDING
160,1963,6,CO_OWNER,2025-07-22,,ACTIVE
161,1279,10,CO_OWNER,2025-03-08,,PENDING
162,2940,12,OWNER,2021-06-16,2026-05-23,PENDING
163,2057,9,BENEFICIARY,2025-10-21,,INACTIVE
164,2368,5,CO_OWNER,2025-03-30,,ACTIVE
165,796,4,OWNER,2025-09-08,,ACTIVE
166,1775,6,OWNER,2025-09-27,,PENDING
167,2034,12,OWNER,2024-09-30,,ACTIVE
168,2502,11,BENEFICIARY,2025-01-20,,ACTIVE
169,350,12,AUTHORIZED_USER,2025-10-22,,ACTIVE
170,2043,8,OWNER,2025-10-26,,INACTIVE
171,1584,2,BENEFICIARY,2024-10-28,,ACTIVE
172,2858,4,OWNER,2023-03-28,,INACTIVE
173,2080,5,BENEFICIARY,2025-06-25,,INACTIVE
174,280,8,OWNER,2022-04-27,,ACTIVE
175,410,9,OWNER,2024-01-18,,INACTIVE
176,1570,5,AUTHORIZED_USER,2023-05-26,,INACTIVE
177,666,3,OWNER,2023-09-19,,ACTIVE
178,1941,1,BENEFICIARY,2025-03-12,,PENDING
179,252,4,OWNER,2025-08-18,,ACTIVE
180,1069,10,AUTHORIZED_USER,2023-08-26,,PENDING
181,2917,9,AUTHORIZED_USER,2025-05-05,2026-11-01,ACTIVE
182,1031,11,AUTHORIZED_USER,2024-12-01,,INACTIVE
183,923,5,CO_OWNER,2025-07-18,,INACTIVE
184,2915,7,CO_OWNER,2024-12-24,,ACTIVE
185,1808,12,CO_OWNER,2024-06-02,,ACTIVE
186,870,9,CO_OWNER,2025-08-27,,ACTIVE
187,1477,10,OWNER,2025-07-17,2027-03-27,PENDING
188,236,1,CO_OWNER,2024-05-19,2026-07-15,ACTIVE
189,1858,12,CO_OWNER,2022-10-04,,ACTIVE
190,2633,9,CO_OWNER,2023-12-03,2026-08-01,INACTIVE
191,2350,4,BENEFICIARY,2023-10-19,,ACTIVE
192,1180,10,AUTHORIZED_USER,2024-02-21,,PENDING
193,1867,7,BENEFICIARY,2025-05-29,,INACTIVE
194,733,11,AUTHORIZED_USER,2025-08-08,,PENDING
195,822,7,CO_OWNER,2023-09-11,2026-06-28,PENDING
196,124,8,OWNER,2023-11-18,2026-10-05,ACTIVE
197,48,11,BENEFICIARY,2025-01-10,,PENDING
198,2169,8,OWNER,2025-04-25,,PENDING
199,1518,9,BENEFICIARY,2023-05-02,,INACTIVE
200,1583,4,BENEFICIARY,2024-02-20,,INACTIVE
201,667,5,CO_OWNER,2024-12-20,,ACTIVE
202,217,11,AUTHORIZED_USER,2025-07-25,,ACTIVE
203,606,10,CO_OWNER,2025-02-23,,INACTIVE
204,1632,4,AUTHORIZED_USER,2023-04-01,2026-11-15,ACTIVE
205,174,1,OWNER,2025-10-20,,PENDING
206,1471,3,OWNER,2023-04-02,2026-01-04,PENDING
207,1993,8,BENEFICIARY,2023-03-31,,ACTIVE
208,1677,3,BENEFICIARY,2025-07-23,2027-04-05,PENDING
209,1750,3,AUTHORIZED_USER,2025-06-12,2025-12-17,ACTIVE
210,1393,8,AUTHORIZED_USER,2024-07-20,2026-08-04,ACTIVE
211,1006,10,AUTHORIZED_USER,2022-10-19,2026-02-20,ACTIVE
212,1527,3,BENEFICIARY,2024-08-24,2027-03-18,PENDING
213,868,3,BENEFICIARY,2025-10-15,,INACTIVE
214,1888,11,AUTHORIZED_USER,2024-12-17,,INACTIVE
215,1893,3,CO_OWNER,2024-09-18,,ACTIVE
216,2149,10,AUTHORIZED_USER,2021-09-03,,ACTIVE
217,115,1,OWNER,2022-10-04,2026-12-27,PENDING
218,2702,7,CO_OWNER,2024-12-29,,ACTIVE
219,35,6,CO_OWNER,2022-07-08,,ACTIVE
220,134,10,CO_OWNER,2025-03-03,,INACTIVE
221,1826,6,CO_OWNER,2025-09-25,,INACTIVE
222,2257,4,CO_OWNER,2024-04-18,,INACTIVE
223,2506,12,OWNER,2024-05-11,2025-11-25,PENDING
224,433,11,AUTHORIZED_USER,2025-01-13,,ACTIVE
225,1407,9,BENEFICIARY,2024-04-15,,ACTIVE
226,479,10,OWNER,2024-05-20,,PENDING
227,2574,12,CO_OWNER,2025-04-17,,PENDING
228,2798,9,AUTHORIZED_USER,2025-09-27,,PENDING
229,571,7,BENEFICIARY,2025-05-31,,INACTIVE
230,1921,8,AUTHORIZED_USER,2025-02-21,,INACTIVE
231,340,2,AUTHORIZED_USER,2023-03-08,,PENDING
232,1306,6,OWNER,2025-06-19,,INACTIVE
233,1389,4,OWNER,2025-09-26,2026-01-17,ACTIVE
234,392,12,CO_OWNER,2025-10-01,2026-12-29,PENDING
235,1253,9,CO_OWNER,2025-09-24,,INACTIVE
236,2248,9,AUTHORIZED_USER,2024-12-11,2026-01-31,ACTIVE
237,71,11,OWNER,2023-01-30,2026-01-27,INACTIVE
238,1478,1,CO_OWNER,2021-11-05,2026-10-14,ACTIVE
239,715,1,CO_OWNER,2025-06-01,,ACTIVE
240,196,2,OWNER,2024-04-16,,PENDING
241,2643,12,OWNER,2025-09-17,2027-08-29,ACTIVE
242,2127,1,AUTHORIZED_USER,2025-07-10,,ACTIVE
243,2147,3,OWNER,2022-05-21,,PENDING
244,2797,4,CO_OWNER,2024-01-19,,PENDING
245,1072,7,AUTHORIZED_USER,2022-12-22,,INACTIVE
246,853,8,CO_OWNER,2025-09-05,2027-08-24,ACTIVE
247,617,5,BENEFICIARY,2025-10-09,,ACTIVE
248,2002,6,OWNER,2025-04-05,,ACTIVE
249,1288,12,AUTHORIZED_USER,2024-01-05,,PENDING
250,2127,2,CO_OWNER,2025-06-15,2027-05-15,INACTIVE
251,1004,4,OWNER,2025-08-18,,ACTIVE
252,518,2,CO_OWNER,2025-10-05,,ACTIVE
253,2286,6,AUTHORIZED_USER,2024-07-21,2025-12-12,INACTIVE
254,2230,8,AUTHORIZED_USER,2025-04-25,,INACTIVE
255,482,3,CO_OWNER,2024-10-06,2027-10-09,ACTIVE
256,700,6,AUTHORIZED_USER,2022-03-07,,ACTIVE
257,2565,8,BENEFICIARY,2023-06-19,,ACTIVE
258,186,11,OWNER,2023-08-16,,INACTIVE
259,2213,6,BENEFICIARY,2025-07-11,,PENDING
260,482,9,CO_OWNER,2024-12-24,,INACTIVE
261,2178,5,CO_OWNER,2025-04-30,,INACTIVE
262,853,3,BENEFICIARY,2025-07-16,,INACTIVE
263,539,9,OWNER,2025-05-05,2027-06-06,PENDING
264,180,11,OWNER,2025-03-23,2025-12-06,ACTIVE
265,1792,9,CO_OWNER,2022-08-06,,INACTIVE
266,1510,10,BENEFICIARY,2024-05-13,,INACTIVE
267,2065,10,OWNER,2025-03-24,,ACTIVE
268,1124,9,OWNER,2023-01-07,,ACTIVE
269,1223,6,OWNER,2025-08-21,2026-06-04,PENDING
270,2035,1,BENEFICIARY,2024-02-19,,INACTIVE
271,2060,12,CO_OWNER,2025-01-02,,INACTIVE
272,2,4,CO_OWNER,2022-09-09,,ACTIVE
273,1645,8,BENEFICIARY,2020-12-28,2026-01-13,PENDING
274,67,2,AUTHORIZED_USER,2023-09-07,,ACTIVE
275,869,12,AUTHORIZED_USER,2023-02-23,2026-07-21,PENDING
276,910,10,AUTHORIZED_USER,2025-10-20,,ACTIVE
277,1718,3,OWNER,2024-08-01,2027-06-25,PENDING
278,799,12,AUTHORIZED_USER,2025-10-02,2027-02-13,ACTIVE
279,2928,10,OWNER,2024-06-07,2026-04-12,INACTIVE
280,5,11,OWNER,2024-04-01,,PENDING
281,68,8,AUTHORIZED_USER,2025-04-18,,INACTIVE
282,449,6,AUTHORIZED_USER,2025-05-17,,INACTIVE
283,1431,10,AUTHORIZED_USER,2024-03-29,,INACTIVE
284,2056,12,OWNER,2024-08-12,2027-04-26,ACTIVE
285,1369,11,OWNER,2025-01-11,,ACTIVE
286,550,3,CO_OWNER,2025-05-04,,PENDING
287,1760,1,OWNER,2022-02-06,,PENDING
288,1053,5,AUTHORIZED_USER,2025-04-19,2027-01-14,ACTIVE
289,1573,3,AUTHORIZED_USER,2023-01-24,,ACTIVE
290,657,8,CO_OWNER,2025-09-01,,ACTIVE
291,441,11,BENEFICIARY,2023-07-26,,PENDING
292,1867,6,OWNER,2025-08-08,,PENDING
293,685,10,OWNER,2024-12-05,2026-04-20,PENDING
294,252,12,BENEFICIARY,2023-06-09,2026-11-02,PENDING
295,2565,10,BENEFICIARY,2023-04-04,,ACTIVE
296,81,11,AUTHORIZED_USER,2025-03-21,,INACTIVE
297,1200,11,CO_OWNER,2023-04-20,,INACTIVE
298,2143,4,AUTHORIZED_USER,2024-01-10,,INACTIVE
299,2792,11,BENEFICIARY,2024-03-10,,ACTIVE
300,2447,2,CO_OWNER,2024-11-13,,INACTIVE
301,1412,8,OWNER,2025-08-12,,ACTIVE
302,1574,11,BENEFICIARY,2023-09-11,2027-03-24,PENDING
303,1256,9,AUTHORIZED_USER,2022-12-21,,PENDING
304,652,5,CO_OWNER,2025-09-06,,INACTIVE
305,1245,9,AUTHORIZED_USER,2021-03-01,,INACTIVE
306,728,8,BENEFICIARY,2025-08-28,2026-04-15,ACTIVE
307,1734,11,AUTHORIZED_USER,2022-10-10,2026-04-29,ACTIVE
308,623,6,BENEFICIARY,2023-09-10,,INACTIVE
309,1090,5,AUTHORIZED_USER,2024-05-13,,PENDING
310,1163,6,OWNER,2025-10-26,,PENDING
311,2234,4,BENEFICIARY,2025-09-20,,PENDING
312,2533,7,OWNER,2024-08-04,,INACTIVE
313,970,10,OWNER,2023-03-02,2026-08-17,PENDING
314,1144,3,BENEFICIARY,2024-03-07,,ACTIVE
315,168,7,OWNER,2024-09-15,,INACTIVE
316,620,3,OWNER,2024-01-10,2027-04-24,INACTIVE
317,2328,11,AUTHORIZED_USER,2025-03-12,,ACTIVE
318,2630,8,CO_OWNER,2025-03-18,2027-04-11,INACTIVE
319,1759,7,BENEFICIARY,2023-01-22,,PENDING
320,2739,5,OWNER,2024-02-26,2025-11-29,PENDING
321,2247,1,OWNER,2025-06-01,2027-10-31,INACTIVE
322,499,6,AUTHORIZED_USER,2025-10-23,,INACTIVE
323,1349,9,AUTHORIZED_USER,2024-07-24,2027-05-03,ACTIVE
324,2193,12,CO_OWNER,2024-08-10,2027-09-23,PENDING
325,2205,11,CO_OWNER,2024-01-09,,PENDING
326,1825,11,BENEFICIARY,2022-06-16,,ACTIVE
327,1512,9,BENEFICIARY,2025-06-03,,ACTIVE
328,1358,11,CO_OWNER,2025-09-18,,ACTIVE
329,1252,7,OWNER,2024-12-05,,ACTIVE
330,1719,11,AUTHORIZED_USER,2023-06-01,,PENDING
331,1589,8,OWNER,2025-10-15,,INACTIVE
332,967,8,BENEFICIARY,2025-10-06,,ACTIVE
333,2055,10,CO_OWNER,2025-08-11,,PENDING
334,145,5,BENEFICIARY,2024-05-14,,INACTIVE
335,940,7,BENEFICIARY,2024-05-01,,INACTIVE
336,1452,2,AUTHORIZED_USER,2025-07-28,,PENDING
337,2867,5,BENEFICIARY,2024-11-12,2026-04-30,PENDING
338,1327,4,BENEFICIARY,2021-12-09,,PENDING
339,699,4,AUTHORIZED_USER,2022-05-15,,PENDING
340,106,11,BENEFICIARY,2023-09-28,,ACTIVE
341,1409,6,BENEFICIARY,2023-11-01,,INACTIVE
342,1723,12,OWNER,2024-08-09,,INACTIVE
343,2453,6,OWNER,2024-11-30,,ACTIVE
344,817,4,CO_OWNER,2025-09-20,,PENDING
345,2051,11,BENEFICIARY,2025-05-22,2026-10-23,INACTIVE
346,2589,12,CO_OWNER,2025-04-05,,INACTIVE
347,2307,10,CO_OWNER,2025-09-26,2027-09-29,INACTIVE
348,2639,10,OWNER,2025-05-01,2027-03-21,ACTIVE
349,648,2,AUTHORIZED_USER,2025-02-08,,PENDING
350,804,6,CO_OWNER,2024-06-08,,ACTIVE
351,1304,8,BENEFICIARY,2024-09-02,,ACTIVE
352,376,10,OWNER,2024-03-25,,PENDING
353,1674,8,CO_OWNER,2024-10-17,,PENDING
354,2429,11,CO_OWNER,2022-10-11,,PENDING
355,75,5,OWNER,2023-02-22,,PENDING
356,181,7,AUTHORIZED_USER,2023-08-25,,INACTIVE
357,2121,1,CO_OWNER,2025-02-15,,INACTIVE
358,284,11,OWNER,2025-06-29,,ACTIVE
359,2204,9,AUTHORIZED_USER,2021-05-17,,PENDING
360,548,9,OWNER,2023-07-19,,ACTIVE
361,111,11,OWNER,2025-07-08,2027-08-12,PENDING
362,1110,6,OWNER,2025-05-05,2026-08-04,ACTIVE
363,752,8,AUTHORIZED_USER,2024-12-16,,INACTIVE
364,2810,4,AUTHORIZED_USER,2023-04-28,,INACTIVE
365,2248,5,OWNER,2024-09-06,2027-09-08,INACTIVE
366,786,6,CO_OWNER,2025-10-04,,ACTIVE
367,1310,1,AUTHORIZED_USER,2022-07-19,2027-08-03,PENDING
368,337,11,BENEFICIARY,2024-03-20,,PENDING
369,974,10,CO_OWNER,2025-10-01,,INACTIVE
370,49,1,OWNER,2023-05-06,2027-09-26,INACTIVE
371,1717,12,OWNER,2025-04-27,,INACTIVE
372,1442,8,CO_OWNER,2025-03-07,,PENDING
373,762,8,CO_OWNER,2025-10-11,2027-05-07,INACTIVE
374,2301,6,CO_OWNER,2025-10-04,,INACTIVE
375,1565,5,CO_OWNER,2024-05-05,,INACTIVE
376,1776,10,OWNER,2025-10-27,,PENDING
377,2870,5,OWNER,2024-03-02,2027-01-22,INACTIVE
378,224,1,BENEFICIARY,2024-12-19,2027-04-02,ACTIVE
379,1538,3,BENEFICIARY,2025-06-19,,ACTIVE
380,571,6,BENEFICIARY,2024-07-27,,PENDING
381,1214,10,OWNER,2025-06-03,2026-12-24,ACTIVE
382,1857,12,AUTHORIZED_USER,2025-10-06,2026-01-05,ACTIVE
383,125,7,AUTHORIZED_USER,2022-07-30,2026-11-13,INACTIVE
384,2544,2,BENEFICIARY,2025-07-22,,PENDING
385,882,4,CO_OWNER,2025-07-20,,PENDING
386,1946,6,OWNER,2025-07-18,,ACTIVE
387,1163,11,BENEFICIARY,2025-07-27,2026-01-03,INACTIVE
388,1316,7,CO_OWNER,2025-05-02,2026-03-24,PENDING
389,789,7,BENEFICIARY,2025-10-21,2027-06-27,ACTIVE
390,91,9,OWNER,2024-07-25,2026-08-24,INACTIVE
391,1661,7,OWNER,2023-04-16,,ACTIVE
392,2382,9,AUTHORIZED_USER,2022-12-25,,ACTIVE
393,48,6,BENEFICIARY,2022-07-06,,PENDING
394,726,7,AUTHORIZED_USER,2022-05-02,2027-09-28,ACTIVE
395,1734,6,AUTHORIZED_USER,2023-02-03,2026-01-21,ACTIVE
396,2441,2,BENEFICIARY,2025-10-14,2026-05-13,PENDING
397,403,7,BENEFICIARY,2025-10-03,,INACTIVE
398,2907,11,BENEFICIARY,2025-02-16,,ACTIVE
399,327,6,AUTHORIZED_USER,2024-06-05,,INACTIVE
400,1059,9,BENEFICIARY,2022-12-19,2026-11-05,PENDING
401,246,3,BENEFICIARY,2025-10-13,,INACTIVE
402,2267,12,OWNER,2025-02-12,2027-04-23,INACTIVE
403,1339,3,BENEFICIARY,2025-11-02,,ACTIVE
404,124,6,BENEFICIARY,2024-09-15,,ACTIVE
405,2894,4,AUTHORIZED_USER,2024-03-20,2026-03-21,PENDING
406,1951,9,BENEFICIARY,2025-01-17,,PENDING
407,1657,9,CO_OWNER,2025-07-28,,ACTIVE
408,2095,10,BENEFICIARY,2022-08-07,,ACTIVE
409,295,1,CO_OWNER,2023-10-29,,INACTIVE
410,622,11,CO_OWNER,2022-02-13,,INACTIVE
411,2779,9,CO_OWNER,2025-10-06,,ACTIVE
412,1028,1,CO_OWNER,2023-05-06,,ACTIVE
413,2295,9,CO_OWNER,2024-07-17,,INACTIVE
414,2545,6,OWNER,2025-08-01,,INACTIVE
415,334,8,AUTHORIZED_USER,2025-06-22,,PENDING
416,2191,3,CO_OWNER,2025-05-11,,PENDING
417,2952,7,OWNER,2024-10-28,2026-11-20,PENDING
418,1968,10,BENEFICIARY,2023-10-22,,ACTIVE
419,2128,4,OWNER,2024-12-07,2027-10-04,PENDING
420,598,4,CO_OWNER,2024-12-31,2026-05-23,INACTIVE
421,182,10,OWNER,2022-11-09,,PENDING
422,28,9,AUTHORIZED_USER,2025-01-04,,ACTIVE
423,2392,6,BENEFICIARY,2022-11-13,,ACTIVE
424,2379,10,BENEFICIARY,2024-05-20,2026-07-22,ACTIVE
425,765,6,CO_OWNER,2023-05-08,,PENDING
426,2273,8,AUTHORIZED_USER,2024-09-18,,INACTIVE
427,2185,1,OWNER,2022-05-07,2026-11-22,ACTIVE
428,2253,7,BENEFICIARY,2024-12-10,,ACTIVE
429,2822,3,BENEFICIARY,2025-10-22,2027-10-14,INACTIVE
430,1070,5,AUTHORIZED_USER,2022-08-14,2026-01-18,INACTIVE
431,56,10,CO_OWNER,2024-06-13,,INACTIVE
432,245,3,AUTHORIZED_USER,2023-09-15,2025-11-25,PENDING
433,1042,9,AUTHORIZED_USER,2025-08-29,2027-03-29,INACTIVE
434,2992,11,AUTHORIZED_USER,2025-05-16,2026-06-14,ACTIVE
435,912,12,CO_OWNER,2025-06-19,,PENDING
436,639,7,CO_OWNER,2025-05-07,,PENDING
437,161,1,CO_OWNER,2025-03-31,,PENDING
438,1714,8,AUTHORIZED_USER,2024-06-26,,INACTIVE
439,644,3,CO_OWNER,2025-07-06,,ACTIVE
440,2374,8,OWNER,2023-10-16,,INACTIVE
441,1333,8,OWNER,2025-09-22,,PENDING
442,2542,10,OWNER,2024-07-30,2027-01-13,ACTIVE
443,301,2,OWNER,2025-02-11,,ACTIVE
444,113,3,BENEFICIARY,2024-08-03,2026-12-17,ACTIVE
445,556,4,AUTHORIZED_USER,2025-06-04,,PENDING
446,2721,1,AUTHORIZED_USER,2025-04-10,2027-03-19,INACTIVE
447,979,12,OWNER,2025-07-24,2027-05-19,PENDING
448,657,5,AUTHORIZED_USER,2025-05-14,,PENDING
