application_id,client_id,application_date,requested_amount,approved_amount,purpose,status,decision_date,interest_rate_proposed,reason_for_rejection,officer_id
22,2770,2025-08-23,14128,14407,MEDICAL,REJECTED,2025-09-09,21.0,Market effect one name.,66
23,1657,2025-10-11,42545,0,CAR,APPROVED,2025-11-01,14.5,,74
24,2136,2025-08-07,49123,28420,HOME,PENDING,2025-09-06,15.83,,66
25,1029,2024-04-17,46441,0,CAR,PENDING,2024-04-23,6.41,,62
26,2218,2022-10-18,34211,0,PERSONAL,PENDING,2022-11-15,13.31,,69
27,467,2025-07-16,18588,0,EDUCATION,CANCELLED,2025-07-18,9.56,,64
28,1865,2022-11-07,28522,24253,HOME,REJECTED,2022-11-22,22.1,,38
29,1840,2023-09-14,3234,21398,BUSINESS,REJECTED,2023-09-30,12.28,Candidate simply why research development key generation.,31
30,2991,2024-09-29,44508,46173,MEDICAL,CANCELLED,2024-10-07,10.19,,17
31,569,2025-10-12,6874,39338,HOME,REJECTED,2025-10-16,13.58,,70
32,469,2024-12-08,14252,38320,BUSINESS,CANCELLED,2024-12-30,17.38,,5
33,2429,2023-01-17,9623,1079,CAR,PENDING,2023-01-19,18.13,,19
34,1361,2024-05-04,29397,27729,CAR,REJECTED,2024-05-13,17.45,Around beautiful let card letter decide source.,65
35,128,2025-08-28,19027,0,PERSONAL,PENDING,2025-08-30,23.32,,58
36,1239,2024-08-25,2004,13228,CAR,REJECTED,2024-08-28,15.31,,33
37,1997,2024-10-03,43155,11138,CAR,REJECTED,2024-10-04,24.31,Land social sense account.,34
38,2216,2025-04-06,36690,27804,EDUCATION,REJECTED,2025-04-07,13.2,,67
39,2011,2025-08-11,12011,5772,EDUCATION,APPROVED,2025-08-18,8.76,,61
40,752,2023-03-04,4194,49063,MEDICAL,CANCELLED,2023-03-31,13.07,,99
41,1843,2024-07-01,27907,14289,BUSINESS,CANCELLED,2024-07-19,13.35,,87
42,233,2025-08-22,49996,41115,PERSONAL,APPROVED,2025-08-24,16.5,,20
43,776,2024-03-11,4564,26193,PERSONAL,CANCELLED,2024-03-27,11.42,,4
44,966,2025-09-14,33200,0,MEDICAL,REJECTED,2025-09-15,22.25,Food reality star pass performance right.,27
45,709,2025-04-22,38861,14131,CAR,CANCELLED,2025-05-14,5.49,,85
46,137,2025-05-27,28035,48708,MEDICAL,PENDING,2025-06-07,23.47,,20
47,844,2024-08-20,30880,39624,BUSINESS,CANCELLED,2024-08-27,6.17,Degree so total owner travel.,3
48,2310,2023-08-31,49307,23142,CAR,APPROVED,2023-09-13,9.86,,9
49,1098,2023-03-06,25525,0,BUSINESS,CANCELLED,2023-03-16,15.4,,33
50,1840,2022-09-23,10473,28685,MEDICAL,PENDING,2022-10-02,18.92,Play stuff police cost.,61
51,338,2025-10-19,13095,30395,CAR,APPROVED,2025-11-08,19.89,,90
52,1157,2025-08-17,43057,12080,CAR,REJECTED,2025-09-01,12.74,Under job firm such professor scientist never.,12
53,1602,2025-10-25,36176,2899,HOME,REJECTED,2025-11-16,11.79,,65
54,2909,2025-09-08,33985,21932,MEDICAL,CANCELLED,2025-10-03,20.54,,78
55,14,2024-08-22,20716,0,PERSONAL,REJECTED,2024-09-06,16.19,,95
56,2436,2025-01-27,44570,35456,HOME,APPROVED,2025-02-14,17.08,,36
57,673,2024-05-23,31732,6026,HOME,REJECTED,2024-05-25,13.45,,43
58,1178,2025-10-31,36359,6072,MEDICAL,APPROVED,2025-11-08,10.74,,99
59,2029,2024-12-21,46521,23266,MEDICAL,PENDING,2025-01-07,8.34,,47
60,280,2022-01-10,6873,26860,HOME,CANCELLED,2022-01-18,15.12,,32
61,2503,2021-11-10,6685,24192,PERSONAL,REJECTED,2021-12-07,22.1,Purpose share wrong those.,32
62,1504,2024-10-20,18481,0,BUSINESS,PENDING,2024-10-29,13.4,Outside activity employee himself.,17
63,2160,2025-10-22,37125,14196,HOME,APPROVED,2025-10-30,7.99,,93
64,198,2025-09-10,24635,25553,CAR,APPROVED,2025-09-19,19.1,,59
65,1328,2025-03-13,21132,8893,PERSONAL,APPROVED,2025-03-30,18.4,,37
66,2694,2023-11-01,7769,0,EDUCATION,CANCELLED,2023-11-28,11.37,,22
67,1992,2025-06-21,28000,4776,PERSONAL,APPROVED,2025-07-03,19.25,,35
68,2704,2025-02-09,23537,3660,EDUCATION,APPROVED,2025-02-17,23.75,,6
69,2734,2023-10-07,16146,27063,HOME,REJECTED,2023-10-18,13.01,,85
70,1672,2024-09-24,47501,8694,CAR,REJECTED,2024-10-23,10.44,,77
71,164,2024-02-24,38030,27072,BUSINESS,PENDING,2024-02-29,11.46,,86
72,1853,2025-10-18,16610,36467,BUSINESS,CANCELLED,2025-11-01,18.96,Paper above organization.,33
73,1049,2025-07-24,15904,35831,MEDICAL,PENDING,2025-08-19,15.37,,70
74,598,2025-09-17,38159,15426,MEDICAL,CANCELLED,2025-09-26,12.36,,72
75,378,2022-06-23,35500,24803,EDUCATION,REJECTED,2022-07-06,10.06,,12
76,623,2022-01-06,25497,9286,CAR,CANCELLED,2022-01-31,21.32,,1
77,969,2025-08-30,7004,48420,CAR,PENDING,2025-09-23,15.09,,90
78,885,2024-05-26,33146,6640,BUSINESS,CANCELLED,2024-06-14,9.97,,44
79,116,2024-09-08,6883,2171,EDUCATION,REJECTED,2024-09-16,8.63,Among such risk image affect country meet.,84
80,79,2025-10-17,6088,28011,BUSINESS,REJECTED,2025-11-05,21.04,,17
81,2141,2023-09-09,31813,42121,CAR,APPROVED,2023-09-27,15.39,,97
82,690,2024-08-29,10426,33783,BUSINESS,PENDING,2024-09-21,16.24,,51
83,407,2022-09-06,30073,7759,BUSINESS,REJECTED,2022-09-27,19.21,,51
84,2878,2025-03-20,41258,21079,EDUCATION,PENDING,2025-04-10,18.01,,1
85,959,2024-04-28,28002,0,BUSINESS,APPROVED,2024-05-16,14.28,,23
86,1172,2025-06-07,39420,0,EDUCATION,REJECTED,2025-07-05,18.49,,84
87,1172,2025-10-19,27109,45428,BUSINESS,PENDING,2025-10-22,14.41,,43
88,606,2024-04-09,13063,0,BUSINESS,CANCELLED,2024-04-18,10.12,Theory suddenly true change deal chance.,100
89,1734,2023-07-31,14067,17607,MEDICAL,APPROVED,2023-08-11,5.2,,91
90,2213,2025-10-07,38703,16428,EDUCATION,APPROVED,2025-10-28,16.0,,100
91,67,2025-07-20,29731,19942,HOME,CANCELLED,2025-08-13,7.45,,29
92,943,2025-07-02,24764,0,PERSONAL,REJECTED,2025-07-07,21.74,,8
93,1000,2024-10-30,33359,0,CAR,APPROVED,2024-11-11,9.5,Support animal law area do land.,57
94,2327,2024-02-23,3272,0,PERSONAL,PENDING,2024-03-18,22.97,Edge Mr threat cultural occur.,58
95,1977,2025-04-22,23364,0,EDUCATION,APPROVED,2025-04-24,11.48,Trade good run now.,88
96,2096,2024-07-24,44710,49494,EDUCATION,PENDING,2024-08-06,10.23,Still show manage ask today her step subject.,30
97,2881,2022-12-19,21647,40635,EDUCATION,REJECTED,2023-01-16,11.18,,95
98,2817,2022-06-26,44900,0,HOME,PENDING,2022-07-24,10.22,Raise heavy road a individual which mother forward.,36
99,349,2024-12-07,18036,0,PERSONAL,REJECTED,2025-01-05,17.48,,28
100,538,2023-09-12,41334,0,CAR,REJECTED,2023-09-22,13.03,,54
101,2848,2023-01-15,2765,49364,PERSONAL,PENDING,2023-02-04,6.58,Perhaps may thank speak light.,27
102,333,2025-09-30,16648,23737,PERSONAL,APPROVED,2025-10-06,14.51,Country drop call court.,39
103,1186,2023-07-11,35577,0,MEDICAL,REJECTED,2023-08-05,15.38,,51
104,1161,2023-04-24,19060,0,MEDICAL,PENDING,2023-05-20,8.52,,75
105,1931,2023-01-10,31290,4852,CAR,PENDING,2023-01-20,12.64,,82
106,483,2024-04-14,40279,0,MEDICAL,PENDING,2024-04-19,11.64,Ask area body western.,71
107,1135,2025-10-29,14187,49335,CAR,PENDING,2025-10-31,24.15,,70
108,2756,2022-01-27,10760,31523,EDUCATION,REJECTED,2022-02-02,17.77,,52
109,1823,2025-10-22,27041,11767,EDUCATION,REJECTED,2025-11-07,21.17,Call way million shoulder dream beat administration.,18
110,29,2024-06-26,38166,17903,MEDICAL,REJECTED,2024-06-29,16.63,Miss contain soon expect else.,69
111,273,2024-05-30,37111,10595,MEDICAL,PENDING,2024-06-06,24.11,Ever church risk part pick people.,48
112,2785,2024-06-10,2151,0,MEDICAL,APPROVED,2024-07-07,24.87,,45
113,262,2025-05-11,40935,1231,CAR,REJECTED,2025-05-26,11.24,,5
114,900,2023-10-05,17860,46159,MEDICAL,APPROVED,2023-10-11,11.23,,91
115,1107,2024-10-05,18628,26706,HOME,REJECTED,2024-11-02,21.11,Significant do help keep even imagine whom.,11
116,1915,2021-06-29,42545,15686,CAR,PENDING,2021-07-10,12.81,Again sing ground some.,30
117,1066,2025-05-03,15116,30393,PERSONAL,PENDING,2025-05-12,6.53,,54
118,2790,2021-06-15,26394,28507,CAR,PENDING,2021-07-09,23.68,,89
119,1695,2025-01-22,24216,0,HOME,REJECTED,2025-02-18,20.03,,91
120,316,2024-12-28,39620,44654,CAR,APPROVED,2025-01-16,6.45,,85
121,2645,2025-05-20,9307,40495,PERSONAL,PENDING,2025-06-10,13.67,Space trade affect system success anyone.,87
122,2837,2025-08-23,8282,50,HOME,APPROVED,2025-09-01,24.15,,16
123,2686,2024-12-05,4331,0,BUSINESS,APPROVED,2024-12-12,14.42,,79
124,244,2025-02-23,29805,0,EDUCATION,CANCELLED,2025-03-18,17.9,,45
125,2327,2025-10-28,19645,44568,HOME,REJECTED,2025-11-07,11.69,,13
126,888,2022-05-20,36162,10177,BUSINESS,CANCELLED,2022-06-15,16.66,,22
127,278,2023-09-02,25649,30107,CAR,CANCELLED,2023-09-06,24.15,,56
128,260,2025-08-26,2534,30541,CAR,REJECTED,2025-09-03,16.42,,88
129,1213,2023-12-21,49917,0,MEDICAL,REJECTED,2024-01-04,22.04,,47
130,916,2025-09-10,35106,23263,MEDICAL,APPROVED,2025-09-25,13.9,,80
131,305,2024-04-28,38317,2912,MEDICAL,REJECTED,2024-05-17,24.17,Green lot own.,39
132,2318,2025-07-02,18639,17330,BUSINESS,APPROVED,2025-07-25,24.42,Yourself full society position western trade place back.,76
133,754,2023-10-30,13968,42208,CAR,REJECTED,2023-11-08,9.36,Writer staff let be bed themselves.,80
134,2538,2023-10-07,34314,45154,HOME,PENDING,2023-10-16,20.3,,59
135,1004,2025-09-04,4741,1239,HOME,APPROVED,2025-09-15,14.74,,70
136,2116,2024-12-05,9715,42197,CAR,PENDING,2024-12-20,21.83,Sense usually really over approach put word.,71
137,1411,2025-03-09,26558,5947,EDUCATION,APPROVED,2025-03-16,18.76,Use nature focus cup.,25
138,921,2024-01-14,33821,42102,HOME,REJECTED,2024-01-19,18.18,,94
139,1529,2025-11-02,36493,9282,EDUCATION,CANCELLED,2025-11-16,12.59,Ago my hold discuss quite.,98
140,1414,2023-11-22,20305,0,BUSINESS,APPROVED,2023-12-14,12.24,,68
141,1563,2025-07-02,33101,14723,MEDICAL,CANCELLED,2025-07-24,18.95,,43
142,98,2024-09-12,47567,6780,HOME,REJECTED,2024-10-07,21.4,,97
143,2274,2022-08-03,16568,8076,CAR,APPROVED,2022-08-26,23.66,Clear save training knowledge executive.,28
144,683,2023-07-14,4691,0,EDUCATION,APPROVED,2023-08-05,10.48,,1
145,515,2025-08-08,7036,152,CAR,CANCELLED,2025-09-07,18.64,,39
146,2276,2025-05-29,31559,20891,MEDICAL,APPROVED,2025-05-30,14.15,War paper church short good check clear draw.,91
147,1616,2025-10-08,28713,40568,BUSINESS,PENDING,2025-10-11,10.45,,53
148,271,2025-03-12,18527,21588,EDUCATION,APPROVED,2025-03-31,21.31,,11
149,1822,2022-07-25,19052,0,MEDICAL,CANCELLED,2022-08-24,19.84,Sport summer number blood risk Mrs.,11
150,1016,2022-11-26,26746,48012,PERSONAL,REJECTED,2022-12-25,23.58,,25
151,297,2023-11-28,9795,30952,HOME,APPROVED,2023-12-18,14.35,,57
152,2052,2025-10-26,23532,0,MEDICAL,CANCELLED,2025-11-20,5.56,,100
153,1851,2021-09-23,31666,41561,MEDICAL,CANCELLED,2021-10-09,22.11,,46
154,977,2025-05-14,3634,32286,HOME,CANCELLED,2025-06-05,24.69,Summer news fine really.,80
155,2824,2025-09-18,5435,44368,CAR,APPROVED,2025-10-16,11.99,,11
156,1007,2025-10-27,28134,26195,EDUCATION,REJECTED,2025-11-19,13.29,,64
157,2850,2022-09-12,30166,20431,BUSINESS,APPROVED,2022-09-30,17.6,,75
158,747,2025-09-26,32488,11619,HOME,APPROVED,2025-10-05,21.81,Of as of with upon response political.,20
159,772,2025-08-22,25359,1937,PERSONAL,CANCELLED,2025-08-31,22.77,,20
160,2414,2024-02-07,46605,7913,EDUCATION,CANCELLED,2024-03-05,7.03,,14
161,2802,2025-04-20,2777,0,PERSONAL,PENDING,2025-05-08,13.33,,95
162,71,2022-06-01,1385,0,HOME,REJECTED,2022-06-15,18.53,,85
163,1768,2024-04-24,26926,14106,BUSINESS,APPROVED,2024-04-27,8.66,,79
164,940,2025-01-25,10356,0,BUSINESS,REJECTED,2025-02-20,5.05,,87
165,1827,2025-03-02,8067,5905,BUSINESS,REJECTED,2025-03-21,15.13,,50
166,117,2025-09-17,39323,0,PERSONAL,CANCELLED,2025-09-19,6.94,,26
167,2615,2025-10-17,30181,45622,MEDICAL,REJECTED,2025-10-19,16.11,,39
168,73,2025-09-03,30844,28588,HOME,REJECTED,2025-09-20,19.98,,94
169,1670,2024-08-19,22676,16480,BUSINESS,PENDING,2024-09-18,23.89,,49
170,762,2024-11-16,35438,0,CAR,PENDING,2024-12-01,21.96,Face sell easy marriage relationship whose center.,48
171,2099,2021-07-04,25696,27567,CAR,REJECTED,2021-07-13,18.37,Once go music financial shoulder follow.,54
172,518,2024-11-29,14954,0,HOME,APPROVED,2024-12-20,10.99,,84
173,1332,2024-01-06,41442,41178,MEDICAL,PENDING,2024-02-04,21.39,,70
174,901,2024-05-25,19376,23230,BUSINESS,CANCELLED,2024-06-24,5.46,,38
175,1324,2024-12-14,45229,10297,MEDICAL,APPROVED,2024-12-30,17.08,,39
176,2978,2024-11-08,17391,20394,EDUCATION,CANCELLED,2024-11-10,6.8,If affect those pay participant.,48
177,1975,2025-08-02,33306,7081,CAR,PENDING,2025-08-19,19.76,Laugh word capital choose.,36
178,2451,2025-04-10,44121,38908,MEDICAL,PENDING,2025-04-26,11.83,Culture for talk develop physical yeah always edge.,77
179,2766,2022-03-30,49015,21632,MEDICAL,CANCELLED,2022-03-31,5.92,,37
180,2576,2024-12-30,36656,47185,EDUCATION,CANCELLED,2025-01-13,9.81,,74
181,2999,2021-12-16,3554,0,PERSONAL,CANCELLED,2022-01-11,18.26,,97
182,2135,2025-08-25,32282,7646,MEDICAL,REJECTED,2025-09-04,5.21,Full thus finish defense stuff establish.,83
183,2397,2025-09-20,24125,16171,CAR,REJECTED,2025-09-23,14.17,,97
184,2948,2022-11-24,32778,0,MEDICAL,PENDING,2022-12-19,16.23,,9
185,2754,2024-03-22,8323,9276,MEDICAL,CANCELLED,2024-04-14,9.52,Herself against least light.,56
186,2311,2024-03-08,26584,0,HOME,REJECTED,2024-04-03,7.16,Probably dinner trial each.,100
187,1355,2024-06-17,43402,34097,HOME,APPROVED,2024-07-17,11.55,,66
188,2936,2025-09-13,33505,23021,HOME,PENDING,2025-10-05,8.98,,98
189,2787,2025-01-26,5789,46575,EDUCATION,PENDING,2025-02-16,13.43,,3
190,2028,2024-07-14,5179,0,MEDICAL,REJECTED,2024-08-04,7.38,,19
191,228,2024-10-27,12731,15736,BUSINESS,REJECTED,2024-11-26,10.63,,88
192,133,2025-09-19,7630,0,PERSONAL,REJECTED,2025-09-27,14.34,Official behind will become authority quite.,21
193,1391,2025-04-20,37238,30112,MEDICAL,CANCELLED,2025-04-27,22.06,,17
194,2016,2025-10-11,6765,5211,EDUCATION,REJECTED,2025-10-28,11.99,,61
195,594,2025-07-29,19207,27317,BUSINESS,PENDING,2025-08-16,24.74,Their protect seem seat.,14
196,223,2024-06-20,34944,0,BUSINESS,PENDING,2024-07-19,11.24,,41
197,1473,2024-03-11,27279,1783,CAR,REJECTED,2024-03-17,8.07,,89
198,346,2025-07-30,43803,30966,MEDICAL,REJECTED,2025-08-02,13.6,,49
199,1681,2025-10-23,6848,39975,MEDICAL,PENDING,2025-11-19,16.12,,9
200,258,2025-03-13,11928,0,CAR,PENDING,2025-03-24,21.59,,75
201,191,2025-08-09,13555,0,BUSINESS,REJECTED,2025-08-13,16.91,Consumer leg should public site several.,14
202,1035,2025-01-21,8109,3227,MEDICAL,APPROVED,2025-01-22,12.55,,59
203,1116,2024-03-01,8508,8037,EDUCATION,REJECTED,2024-03-18,7.42,Letter human sort record point line.,48
204,2115,2021-02-19,12751,3089,EDUCATION,PENDING,2021-03-10,8.16,,39
205,1954,2023-12-28,21149,0,BUSINESS,APPROVED,2024-01-16,7.93,,46
206,1155,2022-07-29,13379,45094,BUSINESS,APPROVED,2022-08-20,15.76,,44
207,2069,2025-09-22,6866,0,HOME,APPROVED,2025-09-23,17.88,,83
208,2439,2025-07-21,2713,9523,CAR,APPROVED,2025-07-27,23.18,,35
209,1868,2023-03-26,45020,25049,BUSINESS,REJECTED,2023-04-09,9.52,,34
210,2415,2025-09-23,10714,6674,MEDICAL,REJECTED,2025-10-20,15.45,,76
211,2024,2023-01-07,29664,39154,CAR,APPROVED,2023-01-26,24.25,Wrong explain term man reason goal choose.,45
212,2217,2025-07-28,34472,40334,BUSINESS,REJECTED,2025-08-04,23.3,Feel develop because skin president.,44
213,1120,2023-06-02,28166,49551,MEDICAL,APPROVED,2023-07-01,24.74,,71
214,940,2022-10-26,41139,18954,CAR,CANCELLED,2022-11-10,5.71,,87
215,2339,2025-07-02,39960,7066,EDUCATION,APPROVED,2025-07-30,23.39,,72
216,1450,2023-09-29,27488,0,PERSONAL,APPROVED,2023-10-09,9.27,,55
217,17,2024-04-03,2762,4100,MEDICAL,CANCELLED,2024-04-05,5.63,,82
218,561,2024-11-15,20685,1291,HOME,REJECTED,2024-12-07,19.93,,39
219,1353,2024-09-12,23254,24011,EDUCATION,PENDING,2024-10-12,19.91,,49
220,591,2025-07-28,12337,0,HOME,REJECTED,2025-08-26,17.62,,81
221,2070,2025-06-20,41166,18255,MEDICAL,APPROVED,2025-06-26,17.92,,88
222,995,2024-06-05,17481,0,HOME,CANCELLED,2024-06-30,7.77,Rate adult executive which start rest really.,79
223,515,2025-09-10,40024,38453,HOME,PENDING,2025-09-22,11.41,,35
224,874,2023-08-19,8903,35137,MEDICAL,REJECTED,2023-09-16,21.22,,5
225,2231,2024-04-09,7179,0,CAR,APPROVED,2024-04-22,15.76,,42
226,1748,2025-07-22,30257,33500,EDUCATION,APPROVED,2025-08-17,7.63,Degree bit direction thus want determine.,9
227,2868,2024-11-13,6575,48279,MEDICAL,APPROVED,2024-12-02,19.63,Fact why these white group reflect.,62
228,2614,2024-01-30,26321,11588,CAR,APPROVED,2024-02-08,19.02,,43
229,1261,2025-09-02,18788,0,HOME,PENDING,2025-09-30,23.92,Forget value then feel stand including magazine.,51
230,1578,2021-12-29,46522,47822,EDUCATION,CANCELLED,2022-01-08,22.93,,95
231,884,2021-04-03,1386,30611,CAR,PENDING,2021-04-10,7.03,,3
232,1497,2024-12-22,1452,40870,CAR,APPROVED,2025-01-11,10.67,,17
233,1712,2023-03-10,34176,0,BUSINESS,CANCELLED,2023-03-19,18.26,,47
234,2813,2025-08-31,23474,22967,MEDICAL,APPROVED,2025-09-10,20.2,Structure often world of study.,67
235,1676,2025-09-02,39789,4452,EDUCATION,APPROVED,2025-09-23,16.0,Right magazine north office wait practice cultural.,10
236,75,2022-05-28,37770,38152,CAR,REJECTED,2022-05-29,12.65,Tell when some fire suggest agreement score.,46
237,2283,2025-07-27,21988,0,BUSINESS,CANCELLED,2025-07-29,16.96,,63
238,1028,2023-08-27,25055,0,MEDICAL,PENDING,2023-09-07,24.2,Prove sometimes list individual party sound break machine.,46
239,866,2024-03-10,33917,37296,CAR,PENDING,2024-03-15,14.98,Yard particular relationship decide or series.,3
240,672,2022-05-06,45106,10425,CAR,PENDING,2022-05-24,12.87,Citizen book pressure computer dark.,61
241,2170,2022-10-30,28425,44942,EDUCATION,PENDING,2022-11-09,10.67,,54
242,551,2024-04-30,46411,41183,PERSONAL,REJECTED,2024-05-21,16.2,,2
243,1240,2021-09-22,38183,0,EDUCATION,PENDING,2021-09-24,17.36,,96
244,1327,2023-01-11,8244,23346,BUSINESS,PENDING,2023-02-06,8.0,,28
245,867,2025-08-07,32300,11073,HOME,REJECTED,2025-08-23,24.64,Military production himself political executive list effect.,54
246,536,2025-11-01,27261,24236,PERSONAL,CANCELLED,2025-11-30,22.92,,1
247,2038,2024-11-26,39540,0,PERSONAL,CANCELLED,2024-12-25,9.28,,52
248,206,2022-12-10,21332,0,HOME,REJECTED,2022-12-14,15.28,,28
249,213,2024-02-25,49751,27676,CAR,APPROVED,2024-03-15,13.76,,54
250,1154,2025-01-23,29187,30417,CAR,PENDING,2025-02-16,21.65,Speak perform local establish eight east.,25
251,112,2025-07-07,18505,40751,BUSINESS,APPROVED,2025-07-19,16.74,,39
252,1619,2025-10-17,7518,12378,EDUCATION,APPROVED,2025-11-16,13.67,,21
253,689,2023-11-29,44348,19377,CAR,REJECTED,2023-12-17,7.92,,4
254,15,2025-10-25,6329,46501,BUSINESS,REJECTED,2025-11-15,20.77,,19
255,1772,2023-04-27,38811,0,CAR,REJECTED,2023-05-22,20.45,Whole strategy lose right it idea.,82
256,1022,2025-10-13,49882,0,PERSONAL,REJECTED,2025-11-06,10.07,,65
257,2700,2025-10-17,6836,21610,BUSINESS,APPROVED,2025-11-12,7.31,Decade evidence security anyone owner.,35
258,842,2024-05-03,34009,0,BUSINESS,PENDING,2024-05-18,16.53,Whom throw teach interest pull.,64
259,1722,2025-10-13,28461,16223,EDUCATION,PENDING,2025-11-08,17.65,,84
260,1001,2025-03-07,9021,12114,HOME,APPROVED,2025-04-01,16.21,,89
261,2582,2023-10-23,26652,47562,MEDICAL,CANCELLED,2023-10-28,15.51,,73
262,2973,2023-07-30,47744,0,MEDICAL,REJECTED,2023-08-08,20.39,,14
263,2501,2023-04-07,9495,0,PERSONAL,APPROVED,2023-05-01,20.53,,27
264,1261,2025-09-01,11287,27071,MEDICAL,REJECTED,2025-09-22,10.35,,95
265,2736,2024-12-28,32343,6194,HOME,REJECTED,2025-01-27,20.86,,63
266,342,2025-09-11,40323,0,PERSONAL,REJECTED,2025-10-07,7.54,,64
267,1160,2024-10-22,25927,0,MEDICAL,PENDING,2024-11-16,8.74,,6
268,1030,2025-10-18,10118,21787,HOME,CANCELLED,2025-11-07,24.53,,83
269,937,2024-04-03,1578,34690,EDUCATION,CANCELLED,2024-04-22,20.41,,98
270,212,2024-06-23,20297,597,PERSONAL,CANCELLED,2024-07-23,6.66,Always voice them concern paper.,79
271,1639,2025-10-11,26629,0,PERSONAL,APPROVED,2025-11-03,9.48,,3
272,750,2025-10-24,26952,18561,MEDICAL,PENDING,2025-10-27,6.38,,66
273,1422,2023-01-20,22385,0,HOME,APPROVED,2023-02-17,14.52,Third military right bag among affect lose.,9
274,2382,2025-09-24,33743,23682,MEDICAL,PENDING,2025-10-20,19.37,Door war story.,53
275,1401,2025-10-22,18321,4064,HOME,PENDING,2025-11-04,12.81,,67
276,2526,2025-04-27,26403,33177,EDUCATION,REJECTED,2025-05-21,19.15,,65
277,1317,2025-02-20,14514,22181,CAR,CANCELLED,2025-03-11,21.79,,21
278,90,2024-03-28,1404,11179,HOME,REJECTED,2024-04-17,22.67,,80
279,2520,2025-02-28,42706,0,HOME,APPROVED,2025-03-09,15.93,,70
280,2037,2024-10-31,26387,0,PERSONAL,PENDING,2024-11-10,23.45,Before investment floor when kind one his.,54
281,1819,2025-08-23,41726,21824,HOME,PENDING,2025-09-16,16.66,Ground college buy no.,17
282,2518,2024-06-23,13306,31904,CAR,CANCELLED,2024-07-20,14.71,,15
283,784,2023-02-03,16327,0,CAR,REJECTED,2023-02-27,22.03,Whom effort use.,78
284,2698,2025-08-24,36400,0,BUSINESS,APPROVED,2025-09-09,23.31,Her last suggest agency reach administration.,15
285,2357,2024-05-07,42585,12854,CAR,PENDING,2024-05-19,20.04,,51
286,757,2023-07-18,22708,45717,HOME,CANCELLED,2023-07-28,10.29,Fire area western know sound.,43
287,2610,2025-06-24,14908,43862,EDUCATION,PENDING,2025-07-09,12.13,,42
288,416,2024-09-14,29494,0,CAR,PENDING,2024-09-28,10.46,,91
289,2827,2025-09-07,24049,0,BUSINESS,PENDING,2025-09-28,14.37,Control doctor possible sort almost myself.,43
290,630,2025-08-12,27204,0,MEDICAL,APPROVED,2025-09-09,5.12,Grow staff PM collection account.,46
291,2153,2022-05-01,28541,1167,HOME,PENDING,2022-05-26,15.97,,39
292,543,2025-10-31,8045,0,EDUCATION,PENDING,2025-11-04,9.38,,62
293,1419,2021-12-26,20160,27301,BUSINESS,REJECTED,2021-12-30,10.28,,76
294,1044,2024-07-20,7190,0,EDUCATION,CANCELLED,2024-07-24,16.28,,28
295,1085,2021-05-17,43733,10487,EDUCATION,APPROVED,2021-05-19,7.84,,3
296,2910,2025-02-04,23162,47435,MEDICAL,PENDING,2025-03-01,14.55,,99
297,1205,2024-01-02,2612,12910,BUSINESS,CANCELLED,2024-01-18,11.56,,59
298,1359,2025-04-15,32017,40867,HOME,PENDING,2025-05-12,16.77,Gas become dark sure join doctor adult.,23
299,2975,2025-10-13,41372,48768,CAR,CANCELLED,2025-11-07,15.13,Analysis large she learn white wear live miss.,87
